From	To
D3GC00	105628162
D3GG13	102117900
D3GGN3	61045080
D3H0F7	61754052
D3KCC4	100359387
D3KU66	107626
D3QT67	61732583
D3RXI0	8778541
D3U591	100783503
D3W810	100127114
D3W812	100127114
D3W9H7	100736504
D3Y5N8	100794139
D3YZG8	665563
D3Z9Y3	300129
D3ZDM7	685325
D3ZFU9	288057
D3ZI76	296130
D3ZTE7	287899
D3ZU86	304208
D3ZUA0	305248
D3ZW08	315150
D3ZYT8	316457
D4A0E8	364382
D4A4P4	751787
D4A7X5	312381
D4AA31	293118
D4AA47	291555
D4AK45	9522609
D4GFL0	57270485
D4GP29	8919161
D4GP30	8919277
D4GP31	8919047
D4GP33	8919002
D4GP40	8919180
D4GP73	8919183
D4GR05	8923588
D4GS48	8925817
D4GSE6	8924883
D4GSN2	8925861
D4GST8	8925721
D4GT94	8926663
D4GT97	8925075
D4GTI7	8926206
D4GTL2	8925725
D4GTL8	8926438
D4GTT9	8925863
D4GU69	8926740
D4GU71	8924195
D4GV57	8925994
D4GV87	8925546
D4GWG4	8924088
D4GWT7	8924706
D4GXZ3	8926402
D4GY85	8924739
D4GYD4	8924067
D4GYE6	8926637
D4I261	8912112
D4I2N1	8914734
D4P8I4	105638587
D5D9X4	48010861
D5DWS5	48010861
D5FM16	58257304
D5KXD2	104648118
D5LQ68	11431351
D5TM67	61583061
D5VAW8	9135253
D6B7V7	15145196
D6MZJ6	100503915
D6RKV4	9378915
D6RSA0	107767349
D6WB60	655413
D7KER1	9326915
D7LC87	9317198
D7P8N7	107863219
D7TU67	104878920
D7TUX1	100253776
D7UCW9	100258719
D7US45	658208
D8M176	24919142
D8PWW0	9594382
D8QHC3	9596759
D8QHD6	9596765
D8QTR2	9656922
D8R6G2	9652404
D9J100	103637798
D9MWM7	551233
D9PYF9	9705397
D9Q0R7	9498729
D9Q987	12299035
D9QB78	12298478
E0CSJ0	100255553
E0SDR9	9736062
E0TL71	61335556
E0X6R2	574064
E0X6R4	100157080
E0Z1D0	543731
E0Z1D1	101253025
E1BC50	534082
E1BFV4	510214
E1BQ43	416711
E1C0W6	428171
E1C2H6	769005
E1C2T4	423632
E1C6D5	424571
E1C878	422772
E1C8E0	419792
E1CAJ6	100499564
E1JIB2	39242
E1U887	61268589
E1VCY5	61510113
E1WS50	60367655
E1WS50	61597221
E1ZPT8	17351565
E2JFF5	100505413
E2JFF6	100505414
E2QPI4	61754615
E2QX67	486073
E2QXP4	100855947
E2R8G2	481453
E2REL5	490828
E2RKV3	484192
E2S0A5	101215501
E2S0A6	101210358
E3K3D7	10530815
E3KNM7	10544484
E3NZ06	100526683
E3QI14	24411011
E3QVI1	24415378
E3SAZ9	61634517
E3SLL2	10328864
E3SMK9	10326941
E3T1X0	100526749
E3T1X1	100526750
E3T1X2	100526747
E3T1X3	100526753
E3USM3	56808958
E3USM3	61001085
E3VXL5	9925441
E3VZD2	9924851
E4NKN2	37415
E4W6M8	107916264
E4W6M9	107957678
E5AE42	13290522
E5FPU5	101216870
E5GAF4	100257265
E5LPF4	61268823
E5RQ20	57646709
E6PBN6	30066279
E6Y3G9	57397993
E7AIM3	101265588
E7BYE4	107843457
E7CCB4	104776214
E7CCB6	104764975
E7CCH1	102577792
E7DN63	100529102
E7EC32	4341965
E7EKB8	57278567
E7F079	100329531
E7F6G2	793671
E7F6X2	100000559
E7F742	100006448
E7FHC0	41713015
E7FHC4	41713135
E7FHF1	41713082
E7FHF8	41713134
E7FHL9	41711863
E7FHN9	41713132
E7FHW8	41713133
E7FHX4	41713321
E7FHY4	41711861
E7FUC9	60953419
E9ADF9	12982772
E9AEQ8	12982267
E9AFE7	12980477
E9AFX2	12980649
E9AHH5	10966305
E9AHH5	10966575
E9AKE1	13453071
E9AMH6	13447244
E9AN23	13454642
E9AN53	13454750
E9AQ00	13449870
E9B8P8	13391652
E9BA63	13389271
E9BC28	13392880
E9BF82	13386420
E9BG32	13389874
E9BLE1	13385468
E9LUE8	6609
E9LUE9	6609
E9Q3E1	621603
E9Q5F9	235626
E9QYP0	3513640
E9RHW0	109635940
F0NDQ1	12417185
F0NEW7	7812578
F0NEW7	7941050
F0NFK8	12416946
F0NID3	7814663
F0NID3	7940907
F0QXN6	10289907
F0ZJZ1	10500934
F1A5G4	10510708
F1BPW6	107021195
F1CMX0	47967399
F1CMX8	47967359
F1M5N4	361602
F1MTF4	508646
F1N8P2	426648
F1N8Y3	418512
F1N9C1	415661
F1N9S8	427256
F1NGY0	395139
F1NQP1	395138
F1NT20	421587
F1P2T2	417520
F1P458	417129
F1P6W8	489769
F1P963	489894
F1QB82	402795
F1QJL3	559603
F1QPV1	100003770
F1QQC3	565508
F1QR43	100007670
F1R777	100004398
F1RPC8	100525333
F1S6D6	100517843
F1SWB0	100689389
F1T282	100251813
F1T283	100246675
F2FB37	103634861
F2L0W0	10360826
F2RM17	40157041
F2VHX9	14008221
F2YGT7	107789691
F2Z699	2908423
F4HPZ9	842991
F4HQA8	844318
F4HQM3	837250
F4HVH9	843117
F4HXY7	838074
F4HYF3	841263
F4HZG9	837451
F4I4K7	838910
F4I7I0	838301
F4I907	838342
F4IAX0	840056
F4IAX1	840058
F4ICF4	839113
F4IF99	814998
F4IFC5	815029
F4IIN3	816757
F4IRA7	28717522
F4IXE7	820727
F4J2K2	820179
F4J4C8	823639
F4J8K0	5007993
F4JBY2	825246
F4JGP6	825869
F4JJL0	828244
F4JJL3	828246
F4JLK2	826603
F4JML5	827386
F4JUE3	830016
F4JUU5	827778
F4JZ46	836751
F4K2A1	830484
F4K645	835007
F4K884	831332
F4KII1	832544
F4PTP3	14872573
F5CC66	56448135
F5H5G0	169355
F5HBR2	3879811
F6GU50	100248547
F6H088	100255753
F6H3N5	100259521
F6HB41	100268085
F6HI77	100248634
F6HP26	100242903
F6I678	100265385
F6IXY6	49395424
F6Q3X1	704019
F6T000	100062138
F6TP78	709666
F6WB20	100185899
F6Z1G0	705227
F7A8R5	100054991
F7EC50	694532
F7EN52	362782
F7ERX8	695185
F7EXV6	100125370
F7H5D7	700303
F7J186	100177386
F7X8Y3	61604292
F8AEA4	10837505
F8AEP0	10837614
F8J4R7	25502252
F8MBS5	20829790
F8QR42	100736452
F8QV18	106096077
F8RL01	100159667
F8V332	107887408
F9UM18	57024498
F9UMI7	57024666
F9UST4	57026951
F9VMT6	42799818
F9VMU0	42799825
F9VNB1	1458853
F9VNF4	1459529
F9VNG5	1459554
F9VNG7	1459560
F9VNL5	1459837
F9VPB8	1460304
F9VPG1	1460562
F9VPH0	1460612
F9X691	13395571
G0HQ31	23803956
G0HQ35	23804720
G0R6T8	18488225
G0R7E2	18485504
G0RB67	18482842
G0RH85	18486631
G0RI60	18488757
G0RKH9	18483318
G0RVK1	18483782
G0RY38	18254567
G0RY84	18254616
G0RYN2	18254767
G0S0B9	18254985
G0S3N2	18256224
G0S9B2	18258558
G0S9G3	18258616
G0S9M2	18258678
G0SBQ7	18259481
G0SD15	18259080
G0SD43	18259113
G0SGU4	18260797
G0SHM3	18261092
G0T3B3	107869376
G0W5T0	11498112
G0YKW8	100233134
G1E6S8	103434638
G1FCL5	102598418
G1FNX7	107901030
G1JUH1	101245212
G1SEP0	100358087
G1UHW5	100862838
G1UIZ2	56917093
G1XU02	22898692
G2Q4H7	11508627
G2Q665	11505696
G2QB71	11510860
G2QDB9	11509563
G2QDN2	11509700
G2QH47	11513427
G2QH51	11513431
G2QHR7	11513803
G2QIK8	11506578
G2QND5	11509804
G2QPS0	11507113
G2QVH7	11519192
G2QW39	11521362
G2QXZ9	11523677
G2RB43	11524504
G2RGW4	11522170
G2WY50	20703995
G2X8L4	20707618
G3I8V7	100774231
G3INC5	100768693
G3JF09	18166460
G3JPF7	18170029
G3LGQ3	1456306
G3V6E6	114097
G3V6L4	311024
G3V7N1	114106
G3X982	71724
G3XCK6	880505
G3XCK6	882029
G3XD01	882593
G3XD23	882642
G3XD46	881247
G3XD74	878956
G3XD94	879921
G3XD98	880882
G3XDA2	879894
G3XDV3	303596
G4MMK2	2685041
G4MS82	2678168
G4MT58	2683257
G4MVI8	2679866
G4N4N6	2683964
G4N8F5	2684425
G4NAP4	2678734
G4NHF4	2677301
G4RJQ1	11262041
G4VGH9	8343369
G4VJD6	8344547
G5ADV1	20663944
G5AFQ7	20663974
G5CSR9	11257293
G5EBH1	172748
G5EBQ3	172524
G5EC63	173327
G5ECM1	172523
G5EDH7	177439
G5EDR5	174400
G5EDT9	172697
G5EDU3	173876
G5EEZ5	177913
G5EFD4	176540
G5EFS4	180315
G5EGA5	178293
G7ILW0	11445860
G7J7Q5	11419457
G7JEE5	11424763
G7JTH4	11446905
G7KER8	11429131
G7KRM5	11414041
G7N132	715291
G7P4V9	101865382
G7P5X8	102131661
G8BWM7	11534172
G8C0Z7	11532171
G8EX76	101215805
G8F1C9	700185
G8N704	58927432
G8XR12	107924022
G8XR13	107959093
G8XR16	107957976
G8ZFZ3	1495045
G9FTP5	103379409
G9HTF7	109237700
G9I9H9	11537478
G9M9P7	56898260
G9MYY8	25794797
G9N4E3	25797893
G9N7J4	25789862
H0VRY9	100729027
H0W0T5	100723883
H1AE12	23884409
H2ER19	61555784
H2FL91	103455021
H2KWF1	9268610
H2KZI0	191169
H2LVH5	101174915
H2MJK7	101166868
H2N0D4	101163630
H2QBX9	748294
H3ZMH5	16548587
H3ZMH8	16548591
H3ZNI2	16548744
H6AGY0	100862708
H6QRV0	13543074
H6TFZ4	4335447
H6U4J0	103249143
H6V7N3	13392581
H6VVJ3	18785206
H6WFU3	14013911
H6WW31	100884166
H6WYS2	101055609
H7C831	100873156
H8YHP3	105632618
H8YHP4	105648679
H9B8T9	102173295
H9BFW7	100885772
H9D0Z2	13393172
H9D2D6	101055572
H9GBL1	100564080
H9JW43	101735686
H9Z845	721704
I0B6I9	61546198
I0DFJ0	23412356
I0FRI5	704240
I0YJW9	17036617
I1GQE9	100838265
I1GSJ4	100836426
I1HRV4	100828998
I1HS24	100840315
I1HY48	100843666
I1I1F5	100838607
I1I8W3	100842572
I1J2W9	100822188
I1JB12	100779296
I1JZJ1	100788831
I1K037	100807923
I1K3K3	547716
I1KH05	100775686
I1L4P1	100813372
I1LFN1	100804681
I1LKU7	100795845
I1LTZ2	100820007
I1LWR2	100795375
I1LWX5	100805275
I1M259	100809727
I1MEH3	100795029
I1MSF2	732606
I1MTD8	100819221
I1MUF8	100802870
I1MXA6	100776476
I1MXC3	100781276
I1NGL3	100817530
I1R9M1	23547674
I1R9N5	23547689
I1RE83	23549369
I1REU9	23549592
I1REW2	23549605
I1RLT3	23552103
I1S0H5	23557119
I1VJ84	109543592
I2FFE9	4351866
I3IXX3	100704062
I3J7Q8	100702495
I3JCG9	100712548
I3LM39	100516408
I3MK28	101977825
I3PU26	101268974
I3R3D0	40156381
I3R4N1	40156839
I3R7F2	40157628
I3RA71	40157855
I3RE04	13022111
I3RFR4	13022768
I3RFR5	13022769
I3ZR32	56592001
I3ZTN9	13038567
I3ZTQ5	13038583
I4DHV7	9268839
I4EC00	551461
I4EC01	726262
I6TYZ3	41713732
I6WZK7	885207
I6XD65	45426023
I6XD65	888260
I6Y0R5	885902
I6Y2G3	888826
I6Y4D2	885602
I6Y8I5	888346
I6YDN6	888409
I6YFP0	888726
I6YG32	45427416
I6YG32	887555
I7E4I1	57289723
I7HHH7	105629811
I7HXG2	22277995
I7LW01	7843486
I7MAL0	7826160
I7ML19	7840976
J3K0T6	4558027
J3K151	4558131
J3K6N4	4561513
J3K8P0	24163887
J3KA57	4562026
J3KAE7	4564735
J3KH55	4568085
J3QMK6	73458
J3T995	57203777
J4UKL8	19889358
J4WAU5	19886826
J5K1T7	19886049
J7GQW2	101745190
J7HET3	61795566
J7K6M3	18776752
J7M9D0	100352458
J7MBS9	100351701
J9H7D1	29606005
J9Q6L4	107880057
J9RYI6	101218189
J9USB3	2540772
J9VFF7	23889892
J9VIU5	23886177
J9VMM2	23885744
J9VNI6	23884911
J9VNV2	23884782
J9VQN5	23885745
J9W3A6	23889639
J9XGP8	103429193
J9XGZ5	103441440
J9Z485	101202726
K0J3J2	15148930
K1QH67	105327847
K1QT40	105349030
K1R1Z4	105344372
K4AC16	101760397
K4BAJ5	100037492
K4BE78	101262489
K4C627	101245066
K4CEE8	101252702
K4CJ56	101252796
K4D2J5	101256438
K7K0Q1	100786705
K7K424	100784657
K7KKZ9	100801159
K7KR69	100788664
K7LZ65	100776407
K7P8F2	109722268
K7PRF2	107916720
K7VCB9	103635163
K7WCI9	101253666
K9K7W3	101213767
K9K7W5	101220898
K9K8P2	779446
K9L8R4	26797055
K9LL63	106352950
K9M7R4	109214145
K9MDK5	14516845
K9MS05	103456249
K9MST3	103456250
L0CR34	3030063
L0EK12	101491511
L0N7M7	101160183
L0N807	819343
L7N4M1	45427341
L8B3D7	41009543
L8B6C5	101746261
L8B8U1	101739156
L8EUQ6	57895592
L8HAM2	14922680
M0RC77	688283
M1A7S9	102603471
M1C692	102603611
M1E7W9	105173637
M1KCW7	100623339
M1L099	61459759
M1R341	56445772
M1URK1	16994205
M1V3I5	16992199
M1V623	16995798
M1V771	16993319
M2SJ60	19141575
M2Y1U7	17088671
M4I6P1	101502253
M4NBK1	724216
M4WFN0	100810890
M5X146	18784711
M5X679	18786078
M5XCX6	18789224
M7P3D9	19896867
M7WHN9	27367808
M9MRD9	34109
M9PDG7	250736
N1Q9R6	19340162
O00098	2868998
O00103	2539190
O00116	8540
O00167	2139
O00308	11060
O00329	5293
O00408	5138
O00429	10059
O00459	5296
O00571	1654
O00584	8635
O00587	4242
O00754	4125
O00757	8789
O00762	11065
O00767	6319
O01404	37823
O01759	172184
O01854	171831
O01925	175339
O02193	31518
O02325	178221
O02691	281809
O02705	397028
O02740	282246
O02776	281377
O04130	838352
O04499	837507
O04830	830765
O04886	102578056
O04928	842541
O04998	11427840
O05264	938836
O05265	937153
O05268	936577
O05369	56364277
O05394	936947
O05510	938016
O05512	938034
O05518	938020
O05576	885341
O05581	885385
O06139	885510
O06335	888041
O06350	888430
O06532	29638582
O06553	885604
O06572	885633
O07014	936673
O07177	886880
O07242	886563
O07427	886785
O07529	936266
O07565	939323
O07600	939306
O07732	885151
O07752	45425851
O07752	885761
O07801	886155
O07836	3235681
O08308	44997026
O08467	3233803
O08557	64157
O08590	29473
O08663	56307
O08701	29215
O08709	11758
O08832	14426
O09005	13244
O09010	16848
O09106	433759
O09160	14343
O09171	81508
O09172	14630
O13332	3642617
O13666	3361266
O13702	2542881
O13811	2542270
O13828	2542503
O13837	2542494
O13851	2542608
O13935	2541917
O14098	2541672
O14160	2543603
O14214	2543319
O14522	11122
O14556	26330
O14638	5169
O14672	102
O14678	5826
O14717	1787
O14734	10005
O14744	10419
O14756	8630
O14773	1200
O14841	26873
O14867	571
O14929	8520
O14974	4659
O15033	9870
O15054	23135
O15067	5198
O15072	9508
O15091	9692
O15120	10555
O15121	8560
O15162	5359
O15217	2941
O15228	8443
O15229	8564
O15270	9517
O15294	8473
O15296	247
O15327	8821
O15357	3636
O15379	8841
O15431	1317
O15438	8714
O15439	10257
O15440	10057
O15488	8908
O15516	9575
O15523	8653
O15527	4968
O15550	7403
O15565	4748825
O15635	3402519
O15922	5650614
O17087	172338
O17798	173051
O18182	176498
O18373	36587
O19015	493927
O22213	818749
O22229	818766
O22265	819358
O22267	819356
O22287	818562
O22446	829969
O22666	820039
O22683	821930
O22765	828226
O22775	827940
O22781	817892
O22788	817901
O22893	819331
O22975	828516
O23051	839311
O23066	828019
O23087	827984
O23118	829617
O23141	829623
O23179	829861
O23180	829860
O23181	829859
O23324	827118
O23346	827149
O23402	827222
O23404	827226
O23596	827470
O23614	827495
O23617	827498
O23653	831255
O23887	542228
O23888	542229
O24062	103430893
O24164	107815753
O24375	102604001
O24496	820255
O24607	109177619
O26153	1470009
O26157	1470013
O26249	1470107
O26253	1470111
O26328	1470187
O26807	24853853
O27089	1471416
O27402	1471065
O27660	1470708
O28007	1485509
O28025	24796023
O28029	24796018
O28050	24795995
O28055	24795990
O28464	24795553
O28511	24795506
O28534	24795484
O28603	24795413
O28778	24795241
O29424	1484053
O29487	24794369
O29524	24794332
O29588	24794268
O29632	24794226
O29675	24794181
O29689	1483780
O29794	1483672
O29852	1483610
O29853	1483609
O29867	24793919
O29876	24793910
O29883	1483579
O29903	24793883
O29915	24793871
O29918	24793868
O29985	24793787
O30011	24793762
O30144	1483304
O30405	57878798
O30557	878093
O30612	41363647
O31418	936369
O31440	938449
O31503	936060
O31611	939809
O31612	936414
O31645	936437
O31665	939330
O31667	939331
O31671	939300
O31675	939292
O31801	939541
O31854	939589
O32038	937549
O32054	937975
O32085	938837
O32106	936587
O32125	936508
O32153	936704
O32164	937108
O32220	937985
O32243	936248
O32374	57419959
O33194	45425661
O33194	885241
O33199	45425669
O33289	45426734
O33289	888407
O33336	888226
O33910	4616701
O34349	940034
O34400	938812
O34425	937393
O34453	938802
O34536	936108
O34617	936310
O34640	936055
O34707	936222
O34746	936392
O34753	936757
O34757	939678
O34779	935931
O34919	939536
O34925	940038
O34926	936624
O34934	936767
O35000	936619
O35020	50136795
O35020	938049
O35078	114027
O35083	55979
O35186	29175
O35244	94167
O35298	27052
O35303	114114
O35331	83578
O35453	15451
O35469	15497
O35490	12116
O35632	15587
O35657	18010
O35678	23945
O35728	13119
O35795	64467
O35855	12036
O35945	26358
O35952	24439
O35969	14431
O36014	2543605
O39929	11027168
O41026	917798
O41094	918052
O41156	918188
O41976	1497134
O42123	379069
O42777	2871930
O42783	3876992
O42898	2540074
O43091	2541402
O43148	8731
O43175	26227
O43272	5625
O43280	11181
O43314	23262
O43447	10465
O43463	6839
O43520	5205
O43593	55806
O43681	439
O43709	114049
O43716	283459
O43895	7512
O43915	2277
O43933	5189
O44408	176866
O44514	177610
O44750	172118
O45011	171850
O45518	180080
O45679	175107
O45903	174963
O46411	281951
O46419	286864
O48709	817182
O48723	817197
O48840	817838
O48916	818042
O49006	820651
O49203	826702
O49213	843659
O49235	547520
O49284	844034
O49298	838928
O49299	838927
O49485	829568
O49561	827868
O49562	827869
O49639	828329
O49814	107873401
O50008	831660
O50094	1443713
O50177	878165
O50440	45425155
O50440	886063
O50490	1101214
O50606	3169771
O51558	56568049
O51564	56567427
O51648	56567514
O51900	9734600
O52631	44997220
O53193	45426458
O53193	888214
O53213	887997
O53289	887815
O53444	885949
O53512	888309
O53554	888267
O53585	886136
O53611	887016
O53699	45424269
O53699	886596
O53720	45424352
O53720	886030
O54204	1100881
O54288	44128913
O54408	936753
O54435	61514919
O54438	880433
O54735	171115
O54754	11761
O54827	11982
O54864	20937
O54909	19683
O54939	117182
O54983	12971
O55028	12041
O55055	13434
O55123	17384
O55143	11938
O55239	18113
O57579	395667
O57767	1443915
O57883	1444041
O57935	1444087
O58035	1444180
O58049	1444191
O58054	1444194
O58212	1444357
O58237	1444393
O58256	1444408
O58323	1442929
O58389	1442986
O58403	1442997
O58433	1443032
O58581	1443179
O58677	1443264
O58690	1443251
O58691	1443297
O58698	1443290
O58713	1443310
O58801	1443395
O58802	1443396
O58810	1443405
O58857	1443449
O58877	1443477
O58925	1443490
O58981	1443596
O59072	1443673
O59089	1443692
O59096	1443697
O59147	1443796
O59257	1442444
O59284	1442470
O59355	1442494
O59445	1442596
O59476	1442654
O59601	1442786
O59651	40152166
O59747	2540904
O59791	2538738
O59825	2539432
O60022	3512975
O60218	57016
O60231	8449
O60260	5071
O60306	9716
O60313	4976
O60331	23396
O60337	10299
O60341	23028
O60476	10905
O60488	2182
O60551	9397
O60568	8985
O60656	54600
O60678	10196
O60701	7358
O60725	23463
O60760	27306
O60841	9669
O60909	8704
O60921	3364
O60930	246243
O61198	177192
O61213	171608
O61219	177622
O62137	173163
O62138	184167
O62140	173162
O62461	189912
O62664	282022
O62698	282023
O63067	548017
O64425	825654
O64642	819170
O64692	818019
O64697	818013
O64698	818012
O64743	818044
O64749	818050
O64752	818053
O64765	818066
O64816	816837
O64883	819056
O64903	836451
O64923	541657
O64948	834750
O65435	827768
O65782	829277
O65853	107801694
O65862	7457542
O65922	7492044
O66266	57965782
O69002	880820
O69054	61729999
O69755	881835
O69787	61602415
O70133	13211
O70138	17394
O70196	83471
O70199	83472
O70250	56012
O70252	15369
O70293	26385
O70370	13040
O70467	89820
O70546	22289
O70571	27273
O70582	11686
O73949	41711862
O73951	41711864
O73957	3473946
O73960	1444255
O74475	2538822
O74739	2539952
O74859	2539198
O74914	2539466
O74985	2539338
O75005	2540197
O75106	314
O75110	10079
O75164	9682
O75191	9942
O75342	242
O75355	956
O75390	1431
O75452	8608
O75462	9244
O75521	10455
O75592	23077
O75608	10434
O75643	23020
O75715	2880
O75792	10535
O75795	7367
O75845	6309
O75874	3417
O75879	5188
O75891	10840
O75907	8694
O75908	8435
O75912	9162
O75936	8424
O76064	9025
O77338	814449
O77448	7843517
O77485	468944
O77708	100101557
O78310	817365
O80396	834042
O80437	818389
O80467	816883
O80518	837457
O80585	819022
O80612	814826
O80685	818699
O80803	842839
O80823	819205
O80840	819187
O80959	818507
O81000	816814
O81020	817228
O81024	817224
O81030	819287
O81077	817457
O81312	828145
O81346	830154
O81472	826407
O81770	829306
O81862	827725
O81884	829509
O81893	829519
O82200	816499
O82381	817525
O82390	817515
O82504	826714
O82514	836459
O82647	829444
O83009	61709842
O83522	57879032
O83661	57879179
O84780	884572
O84781	884573
O86436	45525812
O86728	1101985
O86785	1100185
O86786	1100186
O87189	57643247
O87703	58573740
O87838	1102022
O88011	1102094
O88029	1102112
O88444	432530
O88484	246311
O88496	81716
O88533	13195
O88561	26568
O88673	13139
O88685	19182
O88693	22234
O88736	15490
O88806	54282
O88807	29512
O88813	94340
O88846	29274
O88867	59113
O88876	20148
O88908	223920
O89023	12751
O92810	2746973
O93295	374095
O93732	9961785
O94284	2540326
O94431	2541092
O94632	2539656
O94760	23576
O94761	9401
O94823	23120
O94923	26035
O94953	23030
O95045	151531
O95155	10277
O95237	9227
O95248	6305
O95251	11143
O95255	368
O95278	7957
O95363	10667
O95376	10425
O95396	27304
O95450	9509
O95497	8876
O95498	8875
O95544	65220
O95674	8760
O95786	23586
O95831	9131
O95865	23564
O95954	10841
O96007	4338
O96024	8705
O96028	7468
O96130	812623
O96142	812638
O97143	40384
O97193	3684922
O97252	814391
P00175	854950
P00326	126
P00336	100621540
P00338	3939
P00350	946554
P00352	216
P00356	374193
P00359	853106
P00363	61753808
P00363	948667
P00366	281785
P00370	946802
P00371	397134
P00374	1719
P00375	13361
P00388	29441
P00423	281090
P00426	444878
P00428	287012
P00429	100270792
P00430	101902937
P00430	101903567
P00430	327718
P00432	531682
P00435	281209
P00441	6647
P00452	946612
P00480	5009
P00492	3251
P00505	2806
P00512	58572630
P00550	61752749
P00550	948118
P00630	406141
P00634	945041
P00684	364304
P00698	396218
P00723	2897170
P00724	854644
P00729	855343
P00731	24269
P00734	2147
P00740	2158
P00742	2159
P00747	5340
P00749	5328
P00772	396766
P00775	6211046
P00777	6210254
P00786	25425
P00794	529879
P00797	5972
P00808	56670005
P00811	948669
P00861	61754168
P00861	947313
P00875	2715621
P00883	100009055
P00894	947267
P00903	61752449
P00903	947873
P00909	945519
P00921	280740
P00934	945198
P00936	947755
P00939	100348316
P00940	396435
P00942	851620
P00946	944840
P00952	58573035
P00956	61752726
P00956	944761
P00966	445
P00968	944775
P00973	4938
P01024	718
P01031	727
P01033	7076
P01112	3265
P01116	3845
P02604	396470
P02794	2495
P02829	855836
P02916	61753690
P02916	948532
P02963	25011385
P02963	61599276
P03018	61755673
P03018	948347
P03186	3783726
P03195	3783715
P03252	2652998
P03314	1502173
P03433	956535
P03523	1489835
P03697	2703469
P03697	2703502
P03813	947348
P03951	2160
P03956	4312
P04038	614700
P04040	847
P04041	24404
P04050	851415
P04053	1791
P04062	2629
P04068	100009104
P04070	5624
P04095	18811
P04179	6648
P04180	3931
P04191	100037716
P04298	3707562
P04395	947371
P04397	852307
P04418	1258606
P04585	155348
P04694	24813
P04762	24248
P04799	24297
P04818	7298
P04842	8201223
P04896	281793
P04903	494499
P04904	24421
P04905	24423
P04956	57419143
P04957	937470
P04993	947287
P04995	946529
P05023	476
P05027	396898
P05050	946708
P05089	383
P05093	1586
P05096	937899
P05108	1583
P05165	5095
P05177	1544
P05182	25086
P05186	249
P05194	946210
P05202	14719
P05654	937734
P05656	938092
P05769	1489715
P05793	948286
P05804	946149
P05807	3707708
P05852	61730973
P05852	947578
P05937	793
P05982	24314
P06133	7363
P06182	851192
P06197	856229
P06269	800443
P06276	590
P06526	281120
P06609	945877
P06612	61756171
P06612	945862
P06634	854379
P06672	58027105
P06686	24212
P06709	948469
P06733	2023
P06737	5836
P06744	2821
P06746	5423
P06762	24451
P06797	13039
P06801	17436
P06802	18605
P06803	18712
P06855	1258796
P06857	404010
P06865	3073
P06959	61752640
P06959	944794
P06971	61754826
P06971	944856
P06983	947759
P06992	61752701
P06992	944939
P06999	946230
P07001	946628
P07003	946132
P07071	1258655
P07099	2052
P07101	7054
P07102	946206
P07118	61753914
P07118	948785
P07154	25697
P07203	2876
P07205	5232
P07236	853640
P07245	853118
P07262	854557
P07271	854941
P07275	856432
P07314	116568
P07330	946394
P07335	24264
P07338	24291
P07342	855135
P07379	362282
P07464	945674
P07470	338086
P07471	282200
P07514	515773
P07547	2876485
P07607	22171
P07623	948513
P07632	24786
P07639	947927
P07648	947294
P07650	948901
P07668	42249
P07687	25315
P07702	852412
P07711	1514
P07738	669
P07739	57823102
P07740	57823103
P07762	61752517
P07762	947940
P07773	45233854
P07788	936023
P07814	2058
P07824	29221
P07858	1508
P07864	3948
P07895	24787
P07896	171142
P07902	2592
P07913	948139
P07943	24192
P08001	397098
P08011	171341
P08037	281781
P08134	389
P08144	47764
P08183	5243
P08200	945702
P08236	2990
P08237	5213
P08238	3326
P08254	4314
P08263	2938
P08289	25586
P08294	6649
P08319	127
P08331	948729
P08337	944824
P08394	947286
P08432	853651
P08495	937451
P08499	58309957
P08516	50549
P08559	5160
P08619	3878217
P08645	38244
P08660	948531
P08680	11656
P08683	29277
P08684	1576
P08686	1589
P08709	2155
P08799	8625606
P08838	939253
P08839	946879
P08842	412
P08954	56444320
P09030	61753082
P09030	946254
P09041	18663
P09053	948087
P09144	2717038
P09152	945782
P09158	61752634
P09158	947726
P09163	948514
P09172	1621
P09201	851092
P09210	2939
P09211	2950
P09223	49870520
P09238	4319
P09323	945292
P09367	25044
P09373	945514
P09391	947936
P09411	18655
P09417	5860
P09424	948117
P09436	852202
P09440	852378
P09470	11421
P09487	280994
P09488	2944
P09543	1267
P09546	945600
P09601	3162
P09606	24957
P09607	544289
P09622	1738
P09646	3877848
P09811	64035
P09838	21673
P09848	3938
P09871	716
P09884	5422
P09917	240
P09950	851818
P09955	397341
P09960	4048
P0A006	59698368
P0A0C1	58049990
P0A0C1	61913521
P0A0C2	58049990
P0A0C2	61913521
P0A0T3	61282053
P0A0Y1	58330610
P0A0Y1	61895222
P0A102	45523298
P0A1C1	1237998
P0A1E3	1253952
P0A1I1	1253585
P0A2R8	1255478
P0A2W3	58272274
P0A2W3	61874020
P0A2Y6	60233178
P0A392	56444704
P0A392	61582320
P0A591	45426197
P0A698	61753714
P0A698	948559
P0A6A3	61754588
P0A6A3	946775
P0A6C1	61732102
P0A6C1	946669
P0A6D3	61754072
P0A6D3	945528
P0A6E6	61752889
P0A6E6	948245
P0A6F5	61753795
P0A6F5	948665
P0A6G7	61752334
P0A6G7	945082
P0A6H1	61752335
P0A6H1	945083
P0A6I0	61754070
P0A6I0	945535
P0A6K6	61755372
P0A6K6	948910
P0A6L2	946952
P0A6L4	61730823
P0A6L4	947742
P0A6M2	61755132
P0A6M2	946344
P0A6M8	61752428
