From	To
A0A1S0QVH4	45021418
A0A1S0QXP6	51131947
A0A1S0QXP6	58160268
A0A1S2XQM1	101502205
A0A1S3NED8	100500786
A0A1S3R1W2	106599105
A0A1S4AG82	107797347
A0A1S4DHZ6	107830046
A0A1S6PTV7	104701387
A0A1U7EWW7	3702501
A0A1U7EYC1	3702467
A0A1U7Z269	104585940
A0A1U7Z3Y9	104586461
A0A1U8QU02	2867795
A0A1V0FWZ3	29639661
A0A1V0HT57	20663244
A0A1V0M5M0	42592479
A0A1X9TYE5	61395367
A0A220K8B9	105385950
A0A223CGG0	46869342
A0A223CGG0	56459205
A0A249DBU8	61199537
A0A287DGA3	101958436
A0A288TG08	104967599
A0A290U6M8	102610978
A0A290U6M9	102610978
A0A2B6C4K2	45023383
A0A2B6C4K2	61735164
A0A2C9ETQ7	57478307
A0A2C9EU40	57478449
A0A2D1CFJ9	101075727
A0A2H1ZE58	830940
A0A2K5WDQ7	102126888
A0A2N5WD20	60356385
A0A2R8QKI3	566188
A0A2Z5U3T3	33346348
A0A2Z5U3T3	3474304
A0A384BN88	103658037
A0A384J5R9	5442055
A0A384JIP4	5428921
A0A384JX50	5430914
A0A3A1Q8E8	57822232
A0A3G0ZGD9	798872
A0A3G1ZIV1	56460035
A0A3L6FRY7	103646099
A0A3Q7FJ72	101262393
A0A3Q7HBJ5	101251676
A0A3Q7HS74	101250025
A0A3Q7I0S2	101251501
A0A3Q7IRE2	101259106
A0A3S5YA89	57579136
A0A3S5YB92	57579472
A0A3S7WWI2	13386420
A0A4Q0VE60	24253546
A0A4S2CHH9	61320282
A0A4Y1K7V2	102119914
A0AQW5	101246171
A0AVT1	55236
A0FK57	100037505
A0M8U4	100049619
A0NAB2	836063
A0PFJ3	100037820
A0PU93	34341647
A0QPJ5	45742010
A0QQJ4	45742398
A0QRH1	45742660
A0QT10	45743275
A0QTU8	45743558
A0QUZ2	45743943
A0QV14	45743965
A0QV34	45743985
A0QV35	45743986
A0QVM0	45744168
A0QVQ5	45744200
A0QW08	45744300
A0QX86	45744725
A0QYC2	45745091
A0QYR0	45745236
A0QZ42	45745370
A0QZY0	45745572
A0R0P0	45745822
A0R1X0	45746242
A0R211	45746281
A0R3Q8	45746867
A0R420	45746980
A0R577	45747378
A0R578	45747379
A0R610	45747664
A0R6E0	45747772
A0R723	45747985
A0S5U0	100197141
A0SXL5	33333155
A0SZ82	100136696
A1A442	8258757
A1BNG5	109219431
A1C4B8	4708969
A1CIA7	4703741
A1CII2	4703659
A1CZ35	4593159
A1D5E3	4590823
A1DJ20	4587832
A1ED58	100137046
A1ED58	106572737
A1ED59	100137046
A1ED59	106572737
A1IGX9	611960
A1KUS8	61281659
A1KXK8	4332146
A1KZ92	137902
A1L1S9	569207
A1L1V4	791144
A1L361	56480
A1L3X0	79993
A1RRM7	4617670
A1RUM9	4617134
A1RWP0	4602221
A1RX09	4600981
A1RXW3	4601437
A1S0B1	4601403
A1UQV9	4685108
A1XCI0	100037804
A1XCQ0	100036592
A1XRK1	791124
A1Y9J6	100049066
A1YVX4	100037295
A1YZ22	101895159
A1Z1Q3	140733
A1Z1R8	61711876
A1Z7M3	35904
A1Z9E0	36496
A1ZA98	36780
A1ZB72	37112
A2A5Z6	66313
A2A935	70673
A2ADU9	245533
A2AMS3	14430
A2AWA9	227800
A2BD60	100037099
A2BHM7	494083
A2BJU2	4782683
A2BLE9	4781378
A2BLY3	4782861
A2BM28	4782251
A2DJ40	5465143
A2EGX9	4766009
A2F8Y2	4756464
A2FEX8	4754305
A2FT29	4749642
A2GH85	4741114
A2GMG5	4739278
A2IBN7	107923295
A2ICG5	101891831
A2ICG6	101894200
A2QAC0	4977395
A2QIR3	4990850
A2QJF7	4991096
A2QKT4	4980871
A2QL72	4981013
A2QV36	4990338
A2QZI3	4985851
A2R1N3	4986632
A2R3C7	4987239
A2R3L3	4987328
A2R6M7	4988449
A2RIB7	61108710
A2RM60	61109010
A2RNG5	61110338
A2RTH5	30949
A2RU49	123688
A2RUC4	129450
A2T1M5	588348
A2TEF2	5067288
A2TLS9	56592927
A2VDQ5	538650
A3A871	4329725
A3CRV9	4846073
A3CXQ8	4848277
A3DBX3	57419464
A3DC29	57419405
A3DCI2	57419243
A3DEX4	57418442
A3DHM7	57420356
A3DHT2	57420408
A3DIL8	57417637
A3DJS9	57418016
A3DJY0	57418063
A3DL26	4906755
A3DM60	4907747
A3EYB3	100037406
A3FQA5	3373666
A3GF07	4850856
A3GHL4	4851763
A3GHR6	4851815
A3KCL7	100037287
A3KN98	315644
A3LXL4	4840390
A3LY17	4839791
A3LZU6	4841050
A3NS93	56594744
A3QQQ9	71099
A3QYW3	103865089
A3RK76	107803097
A3RM03	100101865
A3RM04	100101866
A3RM05	100101867
A3RM06	100101909
A3UR44	61785235
A4D126	729920
A4FVP2	827377
A4FWA0	4927862
A4FXX8	4928887
A4GK73	107798633
A4GTP3	100048960
A4H2J0	102577926
A4H3W5	5412684
A4H4P8	4961148
A4H7X3	5413969
A4H8W8	5414321
