"","uniprot","reaction","entrez"
"112","A0A0H2ZNP2","ID	3.1.4.59|ID	3.1.4.60",61429773
"113","A0A0H2ZP50","ID	3.4.11.7",60233868
"114","A0A0H2ZP50","ID	3.4.11.7",61429274
"115","A0A0H2ZPG2","ID	1.97.1.4",60232646
"116","A0A0H2ZPG2","ID	1.97.1.4",61431216
"117","A0A0H2ZQ64","ID	3.1.3.48",60234027
"118","A0A0H2ZQE4","ID	2.3.1.54",60233147
"119","A0A0H2ZQE4","ID	2.3.1.54",61430513
"120","A0A0H2ZQZ4","ID	3.1.4.59",60232622
"121","A0A0H2ZR57","ID	3.1.1.53",60234360
"122","A0A0H2ZTN5","ID	1.1.1.275",61325419
"123","A0A0H3C571","ID	1.4.1.2",7332177
"124","A0A0H3C585","ID	2.7.1.4",7331100
"125","A0A0H3C643","ID	4.2.1.8",7332257
"126","A0A0H3C7H5","ID	4.1.99.3",7333169
"127","A0A0H3C8Q1","ID	3.6.1.54",7330127
"128","A0A0H3C985","ID	2.3.3.16",7330123
"129","A0A0H3C9I3","ID	3.5.1.28",7330092
"130","A0A0H3C9W6","ID	3.1.7.2",7331600
"131","A0A0H3DJW0","ID	3.1.3.16",45596115
"132","A0A0H3E2X6","ID	1.14.99.53",23410194
"133","A0A0H3E5A4","ID	4.2.3.130",23411041
"134","A0A0H3FM50","ID	4.2.1.10",56715696
"135","A0A0H3G3R1","ID	1.5.1.20",45052459
"136","A0A0H3JDV8","ID	2.3.2.26 ()",913338
"137","A0A0H3JER5","ID	2.7.1.40",913541
"138","A0A0H3LIT0","ID	3.5.5.1",56480214
"139","A0A0H3LKK8","ID	3.5.1.107 ()",56481045
"140","A0A0H3LLF9","ID	1.5.1.20",50430854
"141","A0A0H3LLF9","ID	1.5.1.20",56481119
"142","A0A0H3LLR0","ID	1.14.13.114 ()",50428529
"143","A0A0H3LLR0","ID	1.14.13.114 ()",56479601
"144","A0A0H3M2X0","ID	3.4.11.18",45424699
"145","A0A0H3M8A2","ID	3.1.26.3",45426913
"146","A0A0H3M9T2","ID	3.4.11.18",45426848
"147","A0A0H3MCB3","ID	2.5.1.15",45425177
"148","A0A0H3Q5A5","ID	1.16.3.1",57741366
"149","A0A0H3W5U9","ID	1.1.1.71|ID	1.2.1.10",57419243
"150","A0A0H4CX09","ID	3.4.21.45",103389508
"151","A0A0H6U323","ID	2.1.1.217",57742029
"152","A0A0J8FQE7","ID	3.1.1.14",104886508
"153","A0A0K0QCW0","ID	5.4.3.2",56443034
"154","A0A0L0DHP5","ID	1.1.99.24",25566787
"155","A0A0L1M9S8","ID	1.4.1.1",48015260
"156","A0A0M3KKU6","ID	2.4.1.10",8913685
"157","A0A0N6XHR4","ID	1.6.2.4",107877895
"158","A0A0P0ETL9","ID	2.1.1.298 ()",56452677
"159","A0A0P0IJ73","ID	3.2.1.87",26642871
"160","A0A0Q3NCX3","ID	1.8.1.9",100829068
"161","A0A0R0H2W2","ID	3.5.1.98",100796727
"162","A0A0S1X9V3","ID	3.1.21.7",26135890
"163","A0A0W4ZCX9","ID	1.3.1.71",28937771
"164","A0A0X3WMQ3","ID	3.1.1.14",15148213
"165","A0A0X9PFK4","ID	3.4.19.1",101747101
