"","uniprot","reaction","entrez"
"2331","O70196","ID	3.4.21.26",83471
"2332","O70199","ID	1.1.1.22",83472
"2333","O70250","ID	5.4.2.11",56012
"2334","O70252","ID	1.14.14.18",15369
"2335","O70293","ID	2.7.11.16",26385
"2336","O70370","ID	3.4.22.27",13040
"2337","O70467","ID	2.1.1.319",89820
"2338","O70546","ID	1.14.11.68",22289
"2339","O70571","ID	2.7.11.2",27273
"2340","O70582","ID	1.13.11.31",11686
"2341","O73949","ID	1.1.1.2",41711862
"2342","O73951","ID	3.2.1.39",41711864
"2343","O73957","ID	3.1.1.1",3473946
"2344","O73960","ID	5.1.3.2",1444255
"2345","O74475","ID	2.4.1.34",2538822
"2346","O74739","ID	3.5.1.52",2539952
"2347","O74859","ID	3.6.1.70|ID	3.6.1.71|ID	3.6.1.72",2539198
"2348","O74914","ID	4.2.1.130",2539466
"2349","O74985","ID	2.3.1.255|ID	2.3.1.255",2539338
"2350","O75005","ID	6.1.1.9",2540197
"2351","O75106","ID	1.4.3.21",314
"2352","O75110","ID	7.6.2.1",10079
"2353","O75164","ID	1.14.11.27|ID	1.14.11.66|ID	1.14.11.67|ID	1.14.11.69|ID	1.14.99.66",9682
"2354","O75191","ID	2.7.1.17",9942
"2355","O75342","ID	1.13.11.31",242
"2356","O75355","ID	3.6.1.5",956
"2357","O75390","ID	2.3.3.1",1431
"2358","O75452","ID	1.1.1.105",8608
"2359","O75462","ID	1.1.1.105",9244
"2360","O75521","ID	5.3.3.8",10455
"2361","O75592","ID	2.3.2.33",23077
"2362","O75608","ID	3.1.2.22",10434
"2363","O75643","ID	3.6.4.13",23020
"2364","O75715","ID	1.11.1.9",2880
"2365","O75792","ID	3.1.26.4",10535
"2366","O75795","ID	2.4.1.17",7367
"2367","O75845","ID	1.14.19.20",6309
"2368","O75874","ID	1.1.1.42",3417
"2369","O75879","ID	6.3.5.7",5188
"2370","O75891","ID	1.5.1.6",10840
"2371","O75907","ID	2.3.1.20",8694
"2372","O75908","ID	2.3.1.26",8435
"2373","O75912","ID	2.7.1.107",9162
"2374","O75936","ID	1.14.11.1",8424
"2375","O76064","ID	2.3.2.27",9025
"2376","O77338","ID	3.6.5.2",814449
"2377","O77448","ID	2.7.7.49",7843517
"2378","O77485","ID	2.4.1.69",468944
"2379","O77708","ID	2.7.11.17",100101557
"2380","O78310","ID	1.15.1.1",817365
"2381","O80396","ID	2.7.12.2",834042
"2382","O80437","ID	2.3.1.198",818389
"2383","O80467","ID	2.3.1.248",816883
"2384","O80518","ID	2.4.1.123",837457
"2385","O80585","ID	1.5.1.20",819022
"2386","O80612","ID	3.6.1.5",814826
"2387","O80685","ID	2.3.1.225",818699
"2388","O80803","ID	2.4.1.207",842839
"2389","O80823","ID	1.14.14.80",819205
"2390","O80840","ID	5.4.2.8",819187
"2391","O80959","ID	3.1.1.23",818507
"2392","O81000","ID	1.14.14.17",816814
"2393","O81020","ID	3.1.4.3",817228
"2394","O81024","ID	2.7.1.82",817224
"2395","O81030","ID	1.1.3.37|ID	1.1.3.8",819287
"2396","O81077","ID	1.14.14.137",817457
"2397","O81312","ID	5.1.3.6",828145
"2398","O81346","ID	1.14.14.156",830154
"2399","O81472","ID	2.7.11.25",826407
"2400","O81770","ID	2.4.1.336|ID	2.4.1.46",829306
"2401","O81862","ID	3.2.1.200",827725
"2402","O81884","ID	1.1.1.316",829509
"2403","O81893","ID	2.7.1.134|ID	2.7.1.159",829519
"2404","O82200","ID	1.13.99.1",816499
"2405","O82381","ID	2.4.1.128",817525
"2406","O82390","ID	7.3.2.1",817515
"2407","O82504","ID	2.7.7.48",826714
"2408","O82514","ID	2.7.4.3",836459
"2409","O82647","ID	4.1.1.1",829444
"2410","O83009","ID	1.14.99.53|ID	1.14.99.54",61709842
"2411","O83522","ID	1.11.1.24",57879032
"2412","O83661","ID	7.6.2.16",57879179
"2413","O84780","ID	2.3.1.51",884572
"2414","O84781","ID	6.2.1.20",884573
"2415","O86436","ID	3.4.11.10",45525812
"2416","O86728","ID	3.2.1.91",1101985
"2417","O86785","ID	2.7.8.7",1100185
"2418","O86786","ID	5.1.1.1",1100186
"2419","O87189","ID	3.1.1.22",57643247
"2420","O87703","ID	6.5.1.2",58573740
"2421","O87838","ID	2.8.3.16",1102022
"2422","O88011","ID	3.5.4.25",1102094
"2423","O88029","ID	2.7.8.7",1102112
"2424","O88444","ID	4.6.1.1",432530
"2425","O88484","ID	3.1.3.43",246311
"2426","O88496","ID	4.1.1.90",81716
"2427","O88533","ID	4.1.1.28",13195
"2428","O88561","ID	6.2.1.3",26568
"2429","O88673","ID	2.7.1.107",13139
"2430","O88685","ID	5.6.1.5",19182
"2431","O88693","ID	2.4.1.80",22234
"2432","O88736","ID	1.1.1.270|ID	1.1.1.62",15490
"2433","O88806","ID	3.5.3.15",54282
"2434","O88807","ID	3.5.3.15",29512
"2435","O88813","ID	6.2.1.3",94340
"2436","O88846","ID	2.3.2.27",29274
"2437","O88867","ID	1.14.13.9",59113
"2438","O88876","ID	1.1.1.300",20148
"2439","O88908","ID	2.3.1.26",223920
"2440","O89023","ID	3.4.14.9",12751
"2441","O92810","ID	3.6.1.23",2746973
"2442","O93295","ID	3.6.1.5",374095
"2443","O93732","ID	6.5.1.9",9961785
"2444","O94284","ID	1.8.5.4",2540326
"2445","O94431","ID	4.4.1.36",2541092
"2446","O94632","ID	1.14.99.51",2539656
"2447","O94760","ID	3.5.3.18",23576
"2448","O94761","ID	3.6.4.12",9401
"2449","O94823","ID	7.6.2.1",23120
"2450","O94923","ID	5.1.3.17|ID	5.1.3.17",26035
"2451","O94953","ID	1.14.11.27|ID	1.14.11.66|ID	1.14.11.69",23030
"2452","O95045","ID	2.4.2.3",151531
"2453","O95155","ID	2.3.2.27",10277
"2454","O95237","ID	2.3.1.135",9227
"2455","O95248","ID	3.1.3.16",6305
"2456","O95251","ID	2.3.1.48",11143
"2457","O95255","ID	7.6.2.3",368
"2458","O95278","ID	3.1.3.16",7957
"2459","O95363","ID	6.1.1.20",10667
"2460","O95376","ID	2.3.2.31",10425
"2461","O95396","ID	2.7.7.80|ID	2.8.1.11",27304
"2462","O95450","ID	3.4.24.14",9509
"2463","O95497","ID	3.5.1.92",8876
"2464","O95498","ID	3.5.1.92",8875
"2465","O95544","ID	2.7.1.23",65220
"2466","O95674","ID	2.7.7.41",8760
"2467","O95786","ID	3.6.4.13",23586
"2468","O95831","ID	7.1.1.2",9131
"2469","O95865","ID	3.5.3.18",23564
"2470","O95954","ID	2.1.2.5|ID	4.3.1.4",10841
"2471","O96007","ID	2.8.1.12",4338
"2472","O96024","ID	2.4.1.62",8705
"2473","O96028","ID	2.1.1.357|ID	2.1.1.359",7468
"2474","O96130","ID	2.5.1.90 ()",812623
"2475","O96142","ID	2.6.1.1",812638
"2476","O97143","ID	2.7.11.21",40384
"2477","O97193","ID	3.1.3.11",3684922
"2478","O97252","ID	3.4.21.92",814391
"2479","P00175","ID	1.1.2.3",854950
"2480","P00326","ID	1.1.1.1",126
"2481","P00336","ID	1.1.1.27",100621540
"2482","P00338","ID	1.1.1.27",3939
"2483","P00350","ID	1.1.1.44",946554
"2484","P00352","ID	1.2.1.36",216
"2485","P00356","ID	1.2.1.12",374193
"2486","P00359","ID	1.2.1.12",853106
"2487","P00363","ID	1.3.5.4",61753808
"2488","P00363","ID	1.3.5.4",948667
"2489","P00366","ID	1.4.1.2",281785
"2490","P00370","ID	1.4.1.4",946802
"2491","P00371","ID	1.4.3.3",397134
"2492","P00374","ID	1.5.1.3",1719
"2493","P00375","ID	1.5.1.3",13361
"2494","P00388","ID	1.6.2.4",29441
"2495","P00423","ID	7.1.1.9",281090
"2496","P00426","ID	7.1.1.9",444878
"2497","P00428","ID	7.1.1.9",287012
"2498","P00429","ID	7.1.1.9",100270792
"2499","P00430","ID	7.1.1.9",101902937
"2500","P00430","ID	7.1.1.9",101903567
"2501","P00430","ID	7.1.1.9",327718
"2502","P00432","ID	1.11.1.6",531682
"2503","P00435","ID	1.11.1.9",281209
"2504","P00441","ID	1.15.1.1",6647
"2505","P00452","ID	1.17.4.1",946612
"2506","P00480","ID	2.1.3.3",5009
"2507","P00492","ID	2.4.2.8",3251
"2508","P00505","ID	2.6.1.1",2806
"2509","P00512","ID	2.7.1.11",58572630
"2510","P00550","ID	2.7.1.197",61752749
"2511","P00550","ID	2.7.1.197",948118
"2512","P00630","ID	3.1.1.4",406141
"2513","P00634","ID	3.1.3.1",945041
"2514","P00684","ID	4.6.1.18",364304
"2515","P00698","ID	3.2.1.17",396218
"2516","P00723","ID	3.2.1.23",2897170
"2517","P00724","ID	3.2.1.26",854644
"2518","P00729","ID	3.4.16.5",855343
"2519","P00731","ID	3.4.17.1",24269
"2520","P00734","ID	3.4.21.5",2147
"2521","P00740","ID	3.4.21.22",2158
"2522","P00742","ID	3.4.21.6",2159
"2523","P00747","ID	3.4.21.7",5340
"2524","P00749","ID	3.4.21.73",5328
"2525","P00772","ID	3.4.21.36",396766
"2526","P00775","ID	3.4.21.4",6211046
"2527","P00777","ID	3.4.21.81",6210254
"2528","P00786","ID	3.4.22.16",25425
"2529","P00794","ID	3.4.23.4",529879
"2530","P00797","ID	3.4.23.15",5972
"2531","P00808","ID	3.5.2.6",56670005
"2532","P00811","ID	3.5.2.6",948669
"2533","P00861","ID	4.1.1.20",61754168
"2534","P00861","ID	4.1.1.20",947313
"2535","P00875","ID	4.1.1.39",2715621
"2536","P00883","ID	4.1.2.13",100009055
"2537","P00894","ID	2.2.1.6",947267
"2538","P00903","ID	2.6.1.85|ID	2.6.1.86",61752449
"2539","P00903","ID	2.6.1.85|ID	2.6.1.86",947873
"2540","P00909","ID	5.3.1.24",945519
"2541","P00921","ID	4.2.1.1",280740
"2542","P00934","ID	4.2.3.1",945198
"2543","P00936","ID	4.6.1.1",947755
"2544","P00939","ID	5.3.1.1",100348316
"2545","P00940","ID	5.3.1.1",396435
"2546","P00942","ID	5.3.1.1",851620
"2547","P00946","ID	5.3.1.8",944840
"2548","P00952","ID	6.1.1.1",58573035
"2549","P00956","ID	6.1.1.5",61752726
"2550","P00956","ID	6.1.1.5",944761
"2551","P00966","ID	6.3.4.5",445
"2552","P00968","ID	6.3.5.5",944775
"2553","P00973","ID	2.7.7.84 ()",4938
"2554","P01024","ID	3.4.21.47",718
"2555","P01031","ID	3.4.21.43",727
"2556","P01033","ID	3.4.24.22",7076
"2557","P01112","ID	3.6.5.2",3265
"2558","P01116","ID	3.6.5.2",3845
"2559","P02604","ID	5.6.1.8",396470
"2560","P02794","ID	1.16.3.1",2495
"2561","P02829","ID	3.6.4.10",855836
"2562","P02916","ID	7.5.2.1",61753690
"2563","P02916","ID	7.5.2.1",948532
"2564","P02963","ID	3.5.1.41",25011385
"2565","P02963","ID	3.5.1.41",61599276
"2566","P03018","ID	3.6.4.12",61755673
"2567","P03018","ID	3.6.4.12",948347
"2568","P03186","ID	3.4.19.12",3783726
"2569","P03195","ID	3.6.1.23",3783715
"2570","P03252","ID	3.4.22.39",2652998
"2571","P03314","ID	2.7.7.50|ID	3.4.21.91",1502173
"2572","P03433","ID	2.7.7.48",956535
"2573","P03523","ID	2.7.7.88",1489835
"2574","P03697","ID	3.1.11.3",2703469
"2575","P03697","ID	3.1.11.3",2703502
"2576","P03813","ID	5.1.1.10",947348
"2577","P03951","ID	3.4.21.27",2160
"2578","P03956","ID	3.4.24.7",4312
"2579","P04038","ID	7.1.1.9",614700
"2580","P04040","ID	1.11.1.6",847
"2581","P04041","ID	1.11.1.9",24404
"2582","P04050","ID	2.7.7.6",851415
"2583","P04053","ID	2.7.7.31",1791
"2584","P04062","ID	3.2.1.45",2629
"2585","P04068","ID	3.3.2.9",100009104
"2586","P04070","ID	3.4.21.69",5624
"2587","P04095","ID	7.6.2.3",18811
"2588","P04179","ID	1.15.1.1",6648
"2589","P04180","ID	2.3.1.43",3931
"2590","P04191","ID	7.2.2.10",100037716
"2591","P04298","ID	2.7.7.50",3707562
"2592","P04395","ID	3.2.2.21",947371
"2593","P04397","ID	5.1.3.2",852307
"2594","P04418","ID	3.2.2.17",1258606
"2595","P04585","ID	3.1.26.13",155348
"2596","P04694","ID	2.6.1.5",24813
"2597","P04762","ID	1.11.1.6",24248
"2598","P04799","ID	1.14.14.1",24297
"2599","P04818","ID	2.1.1.45",7298
"2600","P04842","ID	1.1.3.13",8201223
"2601","P04896","ID	3.6.5.1",281793
"2602","P04903","ID	2.5.1.18",494499
"2603","P04904","ID	2.5.1.18",24421
"2604","P04905","ID	2.5.1.18",24423
"2605","P04956","ID	3.2.1.4",57419143
"2606","P04957","ID	3.2.1.73",937470
"2607","P04993","ID	3.1.11.5",947287
"2608","P04995","ID	3.1.11.1",946529
"2609","P05023","ID	7.2.2.3",476
"2610","P05027","ID	7.2.2.13",396898
"2611","P05050","ID	1.14.11.33|ID	1.14.11.54",946708
"2612","P05089","ID	3.5.3.1",383
"2613","P05093","ID	1.14.14.19|ID	1.14.14.32",1586
"2614","P05096","ID	2.7.7.101",937899
"2615","P05108","ID	1.14.15.6",1583
"2616","P05165","ID	6.4.1.3",5095
"2617","P05177","ID	1.14.14.1|ID	1.14.99.38",1544
"2618","P05182","ID	1.14.14.1",25086
"2619","P05186","ID	3.1.3.1",249
"2620","P05194","ID	4.2.1.10",946210
"2621","P05202","ID	2.6.1.7",14719
"2622","P05654","ID	2.1.3.2",937734
"2623","P05656","ID	3.2.1.80",938092
"2624","P05769","ID	3.4.21.91|ID	3.6.4.13",1489715
"2625","P05793","ID	1.1.1.383|ID	1.1.1.86",948286
"2626","P05804","ID	3.2.1.31",946149
"2627","P05807","ID	3.6.1.15",3707708
"2628","P05852","ID	2.3.1.234 ()",61730973
"2629","P05852","ID	2.3.1.234 ()",947578
"2630","P05937","ID	3.1.3.25",793
"2631","P05982","ID	1.6.5.2 ()",24314
"2632","P06133","ID	2.4.1.17",7363
"2633","P06182","ID	4.4.1.17",851192
"2634","P06197","ID	2.7.8.11",856229
"2635","P06269","ID	2.7.7.6",800443
"2636","P06276","ID	3.1.1.8",590
"2637","P06526","ID	2.7.7.31",281120
"2638","P06609","ID	7.6.2.8",945877
"2639","P06612","ID	5.99.1.2 (transferred to EC 5.6.2.1)",61756171
"2640","P06612","ID	5.99.1.2 (transferred to EC 5.6.2.1)",945862
"2641","P06634","ID	3.6.4.13",854379
"2642","P06672","ID	4.1.1.1",58027105
"2643","P06686","ID	7.2.2.3",24212
"2644","P06709","ID	6.3.4.15",948469
"2645","P06733","ID	4.2.1.11",2023
"2646","P06737","ID	2.4.1.1",5836
"2647","P06744","ID	5.3.1.9",2821
"2648","P06746","ID	2.7.7.7",5423
"2649","P06762","ID	1.14.14.18|ID	1.3.1.24",24451
"2650","P06797","ID	3.4.22.15",13039
"2651","P06801","ID	1.1.1.40",17436
"2652","P06802","ID	3.1.4.1|ID	3.6.1.9",18605
"2653","P06803","ID	2.7.11.1",18712
"2654","P06855","ID	2.7.1.78|ID	3.1.3.32",1258796
"2655","P06857","ID	3.1.1.26",404010
"2656","P06865","ID	3.2.1.169",3073
"2657","P06959","ID	2.3.1.12",61752640
"2658","P06959","ID	2.3.1.12",944794
"2659","P06971","ID	7.2.2.16",61754826
"2660","P06971","ID	7.2.2.16",944856
"2661","P06983","ID	2.5.1.61",947759
"2662","P06992","ID	2.1.1.182",61752701
"2663","P06992","ID	2.1.1.182",944939
"2664","P06999","ID	2.7.1.11",946230
"2665","P07001","ID	1.6.1.2",946628
"2666","P07003","ID	1.2.5.1",946132
"2667","P07071","ID	1.1.98.6",1258655
"2668","P07099","ID	3.3.2.9",2052
"2669","P07101","ID	1.14.16.2",7054
"2670","P07102","ID	3.1.3.26",946206
"2671","P07118","ID	6.1.1.9",61753914
"2672","P07118","ID	6.1.1.9",948785
"2673","P07154","ID	3.4.22.15",25697
"2674","P07203","ID	1.11.1.9",2876
"2675","P07205","ID	2.7.2.3",5232
"2676","P07236","ID	6.1.1.3",853640
"2677","P07245","ID	3.5.4.9|ID	6.3.4.3",853118
"2678","P07262","ID	1.4.1.4",854557
"2679","P07271","ID	3.6.4.12",854941
"2680","P07275","ID	1.2.1.88",856432
"2681","P07314","ID	2.3.2.2",116568
"2682","P07330","ID	3.1.1.61",946394
"2683","P07335","ID	2.7.3.2",24264
"2684","P07338","ID	3.4.21.1",24291
"2685","P07342","ID	2.2.1.6",855135
"2686","P07379","ID	4.1.1.32",362282
"2687","P07464","ID	2.3.1.18",945674
"2688","P07470","ID	7.1.1.9",338086
"2689","P07471","ID	7.1.1.9",282200
"2690","P07514","ID	1.6.2.2",515773
"2691","P07547","ID	1.1.1.25",2876485
"2692","P07607","ID	2.1.1.45",22171
"2693","P07623","ID	2.3.1.46",948513
"2694","P07632","ID	1.15.1.1",24786
"2695","P07639","ID	4.2.3.4",947927
"2696","P07648","ID	3.1.11.5",947294
"2697","P07650","ID	2.4.2.4",948901
"2698","P07668","ID	2.3.1.6",42249
"2699","P07687","ID	3.3.2.9",25315
"2700","P07702","ID	1.2.1.95",852412
"2701","P07711","ID	3.4.22.15|ID	3.4.22.43",1514
"2702","P07738","ID	5.4.2.4",669
"2703","P07739","ID	1.14.14.3|ID	1.14.14.3",57823102
"2704","P07740","ID	1.14.14.3",57823103
"2705","P07762","ID	2.4.1.18",61752517
"2706","P07762","ID	2.4.1.18",947940
"2707","P07773","ID	1.13.11.1",45233854
"2708","P07788","ID	1.3.3.5",936023
"2709","P07814","ID	6.1.1.15|ID	6.1.1.17",2058
"2710","P07824","ID	3.5.3.1",29221
"2711","P07858","ID	3.4.22.1",1508
"2712","P07864","ID	1.1.1.27",3948
"2713","P07895","ID	1.15.1.1",24787
"2714","P07896","ID	4.2.1.17",171142
"2715","P07902","ID	2.7.7.12",2592
"2716","P07913","ID	1.1.1.103",948139
"2717","P07943","ID	1.1.1.2|ID	1.1.1.21",24192
"2718","P08001","ID	3.4.21.10",397098
"2719","P08011","ID	2.5.1.18",171341
"2720","P08037","ID	2.4.1.38|ID	2.4.1.90",281781
"2721","P08134","ID	3.6.5.2",389
"2722","P08144","ID	3.2.1.1",47764
"2723","P08183","ID	7.6.2.2|ID	7.6.2.3",5243
"2724","P08200","ID	2.7.11.5",945702
"2725","P08236","ID	3.2.1.31",2990
"2726","P08237","ID	2.7.1.11",5213
"2727","P08238","ID	3.6.4.10",3326
"2728","P08254","ID	3.4.24.17",4314
"2729","P08263","ID	2.5.1.18",2938
"2730","P08289","ID	3.1.3.1",25586
"2731","P08294","ID	1.15.1.1",6649
"2732","P08319","ID	1.1.1.1",127
"2733","P08331","ID	3.1.3.6",948729
"2734","P08337","ID	3.6.1.55 ()",944824
"2735","P08394","ID	3.1.11.5",947286
"2736","P08432","ID	4.1.1.17",853651
"2737","P08495","ID	2.7.2.4",937451
"2738","P08499","ID	1.1.1.3",58309957
"2739","P08516","ID	1.14.14.80",50549
"2740","P08559","ID	1.2.4.1",5160
"2741","P08619","ID	1.7.1.3",3878217
"2742","P08645","ID	3.6.5.2",38244
"2743","P08660","ID	2.7.2.4",948531
"2744","P08680","ID	2.3.1.37",11656
"2745","P08683","ID	1.14.14.1|ID	1.14.14.24",29277
"2746","P08684","ID	1.14.14.55|ID	1.14.14.73|ID	1.14.99.38",1576
"2747","P08686","ID	1.14.14.16",1589
"2748","P08709","ID	3.4.21.21",2155
"2749","P08799","ID	5.6.1.8",8625606
"2750","P08838","ID	2.7.3.9",939253
"2751","P08839","ID	2.7.3.9",946879
"2752","P08842","ID	3.1.6.2",412
"2753","P08954","ID	4.6.1.13",56444320
"2754","P09030","ID	3.1.11.2",61753082
"2755","P09030","ID	3.1.11.2",946254
"2756","P09041","ID	2.7.2.3",18663
"2757","P09053","ID	2.6.1.66",948087
"2758","P09144","ID	1.97.1.12",2717038
"2759","P09152","ID	1.7.5.1",945782
"2760","P09158","ID	2.5.1.16",61752634
"2761","P09158","ID	2.5.1.16",947726
"2762","P09163","ID	2.3.1.286",948514
"2763","P09172","ID	1.14.17.1",1621
"2764","P09201","ID	3.1.3.11",851092
"2765","P09210","ID	2.5.1.18",2939
"2766","P09211","ID	2.5.1.18",2950
"2767","P09223","ID	1.15.1.1",49870520
"2768","P09238","ID	3.4.24.22",4319
"2769","P09323","ID	2.7.1.193",945292
"2770","P09367","ID	4.3.1.17",25044
"2771","P09373","ID	2.3.1.54",945514
"2772","P09391","ID	3.4.21.105",947936
"2773","P09411","ID	2.7.2.3",18655
"2774","P09417","ID	1.5.1.34",5860
"2775","P09424","ID	1.1.1.17",948117
"2776","P09436","ID	6.1.1.5",852202
"2777","P09440","ID	3.5.4.9|ID	6.3.4.3",852378
"2778","P09470","ID	3.4.15.1",11421
"2779","P09487","ID	3.1.3.1|ID	3.1.3.1",280994
"2780","P09488","ID	2.5.1.18",2944
"2781","P09543","ID	3.1.4.37|ID	3.1.4.58",1267
"2782","P09546","ID	1.2.1.88|ID	1.5.5.2",945600
"2783","P09601","ID	1.14.14.18",3162
"2784","P09606","ID	6.3.1.2",24957
"2785","P09607","ID	3.1.1.11",544289
"2786","P09622","ID	1.8.1.4",1738
"2787","P09646","ID	4.6.1.24",3877848
"2788","P09811","ID	2.4.1.1",64035
"2789","P09838","ID	2.7.7.31",21673
"2790","P09848","ID	3.2.1.108|ID	3.7.1.4",3938
"2791","P09871","ID	3.4.21.42",716
"2792","P09884","ID	2.7.7.102",5422
"2793","P09917","ID	1.13.11.34",240
"2794","P09950","ID	2.3.1.37",851818
"2795","P09955","ID	3.4.17.2",397341
"2796","P09960","ID	3.3.2.6|ID	3.4.11.6",4048
"2797","P0A006","ID	1.20.4.1|ID	1.20.4.4|ID	1.20.4.4",59698368
"2798","P0A0C1","ID	2.7.1.190",58049990
"2799","P0A0C1","ID	2.7.1.190",61913521
"2800","P0A0C2","ID	2.3.1.82|ID	2.7.1.190",58049990
"2801","P0A0C2","ID	2.3.1.82|ID	2.7.1.190",61913521
"2802","P0A0T3","ID	4.4.1.5",61282053
"2803","P0A0Y1","ID	2.7.7.6",58330610
"2804","P0A0Y1","ID	2.7.7.6",61895222
"2805","P0A102","ID	2.8.3.6",45523298
"2806","P0A1C1","ID	7.1.2.2|ID	7.4.2.8",1237998
"2807","P0A1E3","ID	2.5.1.47",1253952
"2808","P0A1I1","ID	1.8.5.5",1253585
"2809","P0A2R8","ID	7.2.2.14",1255478
"2810","P0A2W3","ID	2.7.8.7",58272274
"2811","P0A2W3","ID	2.7.8.7",61874020
"2812","P0A2Y6","ID	4.2.3.5",60233178
"2813","P0A392","ID	1.4.1.9",56444704
"2814","P0A392","ID	1.4.1.9",61582320
"2815","P0A591","ID	6.3.1.2",45426197
"2816","P0A698","ID	3.6.1.3 (deleted, enzymes previously listed under this number are now listed separately under EC 5.6 and EC 7)",61753714
"2817","P0A698","ID	3.6.1.3 (deleted, enzymes previously listed under this number are now listed separately under EC 5.6 and EC 7)",948559
"2818","P0A6A3","ID	2.7.2.1",61754588
"2819","P0A6A3","ID	2.7.2.1",946775
"2820","P0A6C1","ID	3.1.21.2",61732102
"2821","P0A6C1","ID	3.1.21.2",946669
"2822","P0A6D3","ID	2.5.1.19",61754072
"2823","P0A6D3","ID	2.5.1.19",945528
"2824","P0A6E6","ID	7.1.2.2|ID	7.1.2.2",61752889
"2825","P0A6E6","ID	7.1.2.2|ID	7.1.2.2",948245
"2826","P0A6F5","ID	5.6.1.7",61753795
"2827","P0A6F5","ID	5.6.1.7",948665
"2828","P0A6G7","ID	3.4.21.92",61752334
"2829","P0A6G7","ID	3.4.21.92",945082
"2830","P0A6H1","ID	3.4.21.92",61752335
"2831","P0A6H1","ID	3.4.21.92",945083
"2832","P0A6I0","ID	2.7.4.25|ID	2.7.4.25",61754070
"2833","P0A6I0","ID	2.7.4.25|ID	2.7.4.25",945535
"2834","P0A6K6","ID	5.4.2.7",61755372
"2835","P0A6K6","ID	5.4.2.7",948910
"2836","P0A6L2","ID	4.3.3.7",946952
"2837","P0A6L4","ID	4.1.3.3|ID	4.1.3.3",61730823
"2838","P0A6L4","ID	4.1.3.3|ID	4.1.3.3",947742
"2839","P0A6M2","ID	1.8.5.9",61755132
"2840","P0A6M2","ID	1.8.5.9",946344
"2841","P0A6M8","ID	3.6.5.3",61752428
"2842","P0A6M8","ID	3.6.5.3",947847
"2843","P0A6Q3","ID	4.2.1.59|ID	5.3.3.14",61754026
"2844","P0A6Q3","ID	4.2.1.59|ID	5.3.3.14",945568
"2845","P0A6U5","ID	2.1.1.170",61752898
"2846","P0A6U5","ID	2.1.1.170",948250
"2847","P0A6X1","ID	1.2.1.70",945777
"2848","P0A705","ID	3.6.5.3",61751996
"2849","P0A705","ID	3.6.5.3",947684
"2850","P0A717","ID	2.7.6.1",61756237
"2851","P0A717","ID	2.7.6.1",945772
"2852","P0A731","ID	4.2.3.3",61754017
"2853","P0A731","ID	4.2.3.3",945574
"2854","P0A738","ID	4.6.1.17",61751840
"2855","P0A738","ID	4.6.1.17",945397
"2856","P0A752","ID	2.7.7.1|ID	2.7.7.18",61756022
"2857","P0A752","ID	2.7.7.1|ID	2.7.7.18",945248
"2858","P0A7A5","ID	2.1.1.77",61754360
"2859","P0A7A5","ID	2.1.1.77",944923
"2860","P0A7B1","ID	2.7.4.1",61753497
"2861","P0A7B1","ID	2.7.4.1",946971
"2862","P0A7B3","ID	2.7.1.23",61754264
"2863","P0A7B3","ID	2.7.1.23",947092
"2864","P0A7B8","ID	3.4.25.2",61755714
"2865","P0A7B8","ID	3.4.25.2",948429
"2866","P0A7C2","ID	3.4.21.88",61753700
"2867","P0A7C2","ID	3.4.21.88",948544
"2868","P0A7D1","ID	3.1.1.29",61756240
"2869","P0A7D1","ID	3.1.1.29",945765
"2870","P0A7I7","ID	3.5.4.25",61756166
"2871","P0A7I7","ID	3.5.4.25",945763
"2872","P0A7Y4","ID	3.1.13.2",61755530
"2873","P0A7Y4","ID	3.1.13.2",946955
"2874","P0A7Z4","ID	2.7.7.6",62021014
"2875","P0A7Z4","ID	2.7.7.6",947794
"2876","P0A825","ID	4.1.2.48",61753447
"2877","P0A825","ID	4.1.2.48",947022
"2878","P0A836","ID	6.2.1.5",61753023
"2879","P0A836","ID	6.2.1.5",945312
"2880","P0A847","ID	2.4.2.29",61752300
"2881","P0A847","ID	2.4.2.29",949130
"2882","P0A853","ID	4.1.99.1",61752862
"2883","P0A853","ID	4.1.99.1",948221
"2884","P0A858","ID	5.3.1.1",61755727
"2885","P0A858","ID	5.3.1.1",948409
"2886","P0A873","ID	2.1.1.228",61754257
"2887","P0A873","ID	2.1.1.228",947099
"2888","P0A887","ID	2.1.1.163",61755694
"2889","P0A887","ID	2.1.1.163",948926
"2890","P0A8D6","ID	3.1.1.106",61646739
"2891","P0A8D6","ID	3.1.1.106",946987
"2892","P0A8G9","ID	3.1.11.6",61752316
"2893","P0A8G9","ID	3.1.11.6",945069
"2894","P0A8I8","ID	2.1.1.177",61733650
"2895","P0A8I8","ID	2.1.1.177",945239
"2896","P0A8N5","ID	6.1.1.6",61753781
"2897","P0A8N5","ID	6.1.1.6",948645
"2898","P0A8Q3","ID	1.3.5.4",61734463
"2899","P0A8Q3","ID	1.3.5.4",948668
"2900","P0A8T1","ID	2.1.1.244",61751913
"2901","P0A8T1","ID	2.1.1.244",947708
"2902","P0A948","ID	2.3.1.267",61755230
"2903","P0A948","ID	2.3.1.267",946910
"2904","P0A951","ID	2.3.1.57",61753249
"2905","P0A951","ID	2.3.1.57",946117
"2906","P0A955","ID	4.1.3.16|ID	4.1.3.42 ()",61754722
"2907","P0A955","ID	4.1.3.16|ID	4.1.3.42 ()",946367
"2908","P0A959","ID	2.6.1.2",61754582
"2909","P0A959","ID	2.6.1.2",946772
"2910","P0A998","ID	1.16.3.2",61755444
