"Accession","pvalue","for_change","Type","Values"
"Q564E2",0.849228295325631,-0.0366666666666667,"BALB.cJ_300",0.42
"E9PY03",0.00341693303467009,-0.796666666666667,"BALB.cJ_300",0.77
"P05064",0.00182651854694015,0.5,"BALB.cJ_300",0.35
"A0A1D5RM85",0.00324176354009852,0.6,"BALB.cJ_300",0.65
"D3Z780",0.908570122657242,-0.0166666666666667,"BALB.cJ_300",-0.19
"Q8VCU1",0.56695790921219,0.06,"BALB.cJ_300",0.36
"A2AFQ0",0.849418041588687,0.04,"BALB.cJ_300",-0.41
"Q3UP75",0.942687868405009,-0.0566666666666666,"BALB.cJ_300",-2.58
"Q920B9",0.519360585713543,0.163333333333333,"BALB.cJ_300",-0.42
"Q922D8",0.113287809795079,-0.106666666666667,"BALB.cJ_300",-0.23
"Q921M3",0.988228770368342,0.00333333333333333,"BALB.cJ_300",-0.07
"Q9JMG1",0.597699878187556,0.0333333333333333,"BALB.cJ_300",-0.01
"Q99KG5",0.402670991208642,-0.276666666666667,"BALB.cJ_300",-0.86
"Q9DBE0",0.0526266902606195,1.29333333333333,"BALB.cJ_300",0.67
"Q80W21",0.240559042843802,-0.0633333333333333,"BALB.cJ_300",0.18
"Q8BTZ7",0.823672416130569,0.0766666666666667,"BALB.cJ_300",-0.16
"Q8BHN3",0.840345772777789,-0.02,"BALB.cJ_300",0.03
"Q9R0Q7",0.785393258200695,0.0366666666666667,"BALB.cJ_300",-0.04
"Q8C0C7",0.609461918665127,-0.04,"BALB.cJ_300",-0.15
"Q99L47",0.855147101971048,0.0333333333333333,"BALB.cJ_300",0.29
"Q9D7B6",0.0216388529651042,-0.313333333333333,"BALB.cJ_300",0.19
"O35945",0.0711684617478322,-0.566666666666667,"BALB.cJ_302",-1.06
"Q9EPC1",0.0371437780024259,0.336666666666667,"BALB.cJ_302",0.37
"Q9D7A8",0.0083166200893705,-0.266666666666667,"BALB.cJ_302",-0.14
"Q8R3F5",0.0267484479680629,-0.15,"BALB.cJ_302",-0.21
"P45952",0.107470240025121,0.24,"BALB.cJ_302",0.2
"Q9CSU0",0.280631461018038,-0.126666666666667,"BALB.cJ_302",0.28
"Q99LC5",0.00862096502588309,-0.12,"BALB.cJ_302",-0.02
"Q3URE1",0.482639711803241,0.136666666666667,"BALB.cJ_302",-0.23
"Q8R104",0.288275453824929,-0.4,"BALB.cJ_302",-0.1
"Q8R1F5",0.23242925763023,-0.473333333333333,"BALB.cJ_302",-1.09
"Q8VCQ8",0.000218303408616034,1.37,"BALB.cJ_302",0.32
"P12970",0.128539638110787,0.31,"BALB.cJ_302",0.42
"Q3UQ44",0.380079229603291,-0.06,"BALB.cJ_302",-0.44
"O70475",0.0061152561514455,0.92,"BALB.cJ_302",0.8
"P40936",0.00304445665396849,-1.02666666666667,"BALB.cJ_302",-1.41
"Q8BH59",0.184443947236766,0.383333333333333,"BALB.cJ_302",0.01
"A0A0A6YWB0",0.144083722851666,-0.146666666666667,"BALB.cJ_302",-0.09
"Q8BMA6",0.583195049091294,-0.0933333333333333,"BALB.cJ_302",-0.18
"E9Q456",0.143444629177852,0.633333333333333,"BALB.cJ_302",0.86
"P70670",0.750731005978252,0.0433333333333333,"BALB.cJ_302",-0.08
"Q64523",0.146332690737398,0.49,"BALB.cJ_302",0.57
"P43274",0.369470787002511,0.463333333333333,"BALB.cJ_302",0.14
"Q9EQF5",0.0249997418498518,0.596666666666667,"BALB.cJ_302",0.03
"Q9CQR4",0.234600771522669,-0.186666666666667,"BALB.cJ_302",-0.05
"B2RXS4",0.109379618046943,0.21,"BALB.cJ_302",-0.21
"Q9DCL9",0.355658643798393,-0.19,"BALB.cJ_302",-0.08
"Q91WD5",0.189899752233717,0.0766666666666667,"BALB.cJ_302",-0.02
"Q8VCC2",0.0132766213106841,-0.396666666666667,"BALB.cJ_302",-0.2
"Q9QZD8",0.0204418127391249,-0.246666666666667,"BALB.cJ_302",-0.43
"P49722",0.319539983033347,0.123333333333333,"BALB.cJ_302",0.05
"P20029",0.357044189092697,-0.06,"BALB.cJ_302",0.12
"E9PVP0",0.0966254805645573,-0.0766666666666667,"BALB.cJ_302",-0.16
"P61027",0.71903772456881,-0.04,"BALB.cJ_302",0.07
"P56399",0.0538014750796587,0.113333333333333,"BALB.cJ_302",0.07
"Q64727",0.125288246205912,0.12,"BALB.cJ_302",0.06
"Q62318",0.514947642424936,0.193333333333333,"BALB.cJ_302",0.7
"Q9D7J9",0.138237434061063,-0.0933333333333333,"BALB.cJ_302",-0.06
"P46735",0.79002961711219,0.02,"BALB.cJ_302",0.07
"E9Q1G8",0.914566832368683,0.01,"BALB.cJ_302",0.25
"O70325",0.0324238786258489,0.266666666666667,"BALB.cJ_302",0.42
"Q9Z1N5",0.296512573645679,0.0466666666666667,"BALB.cJ_302",0
"Q922R8",0.625199362958953,-0.0266666666666667,"BALB.cJ_302",0.32
"Q8K183",0.0678406835153382,0.243333333333333,"BALB.cJ_302",0.05
"P09103",0.0214799728567733,-0.293333333333333,"BALB.cJ_302",-0.49
"Q9R0Q6",0.196056409070892,0.213333333333333,"BALB.cJ_302",-0.23
"A0A0R4J0B4",0.131670658118357,0.146666666666667,"BALB.cJ_302",0.39
"Q3UNZ8",0.0123717788015575,-0.76,"BALB.cJ_302",-0.68
"E9Q827",0.223682677307016,0.17,"BALB.cJ_302",-0.11
"Q3TCH7",0.251209108803396,-0.113333333333333,"BALB.cJ_302",0.15
"Q9Z0V7",0.722247018164053,0.166666666666667,"BALB.cJ_302",-0.42
"Q924Z4",0.00291166907933111,-0.373333333333333,"BALB.cJ_302",-0.31
"P06909",0.979924540731757,-0.00333333333333335,"BALB.cJ_302",-0.04
"Q91ZP3",0.36585102289178,0.373333333333333,"BALB.cJ_302",1.62
"Q922B2",0.00515081993816408,-0.57,"BALB.cJ_302",-0.65
"P70349",0.381977277833886,-0.0766666666666667,"BALB.cJ_302",0.31
"P52480",0.603070085688623,0.12,"BALB.cJ_302",-0.32
"O88908",0.737288257569145,0.136666666666667,"BALB.cJ_302",0.42
"Q99J77",0.775009661869193,0.0633333333333333,"BALB.cJ_302",-0.26
"Q61937",0.127670297411324,0.126666666666667,"BALB.cJ_302",0.55
"E9QJT5",0.348885302455777,-0.163333333333333,"BALB.cJ_302",0.42
"Q3TCR7",0.921632102555627,0.0133333333333333,"BALB.cJ_302",0.03
"Q8BL97",0.226090053001323,-0.183333333333333,"BALB.cJ_302",-0.24
"Q9CVB6",0.122947366393142,0.21,"BALB.cJ_302",-0.09
"Q9D5T0",0.100124908646192,-0.306666666666667,"BALB.cJ_302",-0.09
"Q9CQR2",0.771817300496456,0.0933333333333334,"BALB.cJ_302",-0.26
"Q9JII6",0.00976800771366883,0.25,"BALB.cJ_302",-0.06
"Q9DCP2",0.246019228811817,0.383333333333333,"BALB.cJ_302",-0.65
"Q8VDQ8",0.235786685943919,0.223333333333333,"BALB.cJ_302",0.19
"Q99LF4",0.353868779561715,0.0666666666666667,"BALB.cJ_302",0.14
"Q3UE92",0.562789826232011,-0.0833333333333333,"BALB.cJ_302",0.01
"P43024",0.0279683609163526,0.406666666666667,"BALB.cJ_302",0.07
"Q6NSR8",0.151661232934842,0.406666666666667,"BALB.cJ_302",0.41
"Q9WU84",0.778195198111354,0.07,"BALB.cJ_302",-0.23
"Q9EP72",0.628410794639295,0.443333333333333,"BALB.cJ_302",-0.05
"Q99MR6",0.027537553520676,0.26,"BALB.cJ_302",0.24
"Q9DCS2",0.258880854903232,0.05,"BALB.cJ_302",0.14
"Q9EPE9",0.0490758965160788,-0.27,"BALB.cJ_302",-0.19
"Q99PG0",0.0136970577376885,-0.21,"BALB.cJ_302",-0.45
"Q61029",0.640291492137591,0.12,"BALB.cJ_302",0.63
"P62821",0.043660952497197,0.423333333333333,"BALB.cJ_302",0.4
"Q64737",0.148676088569479,0.156666666666667,"BALB.cJ_302",0.08
"Q5RKZ7",0.0652847902635817,0.216666666666667,"BALB.cJ_302",0.2
"Q8BFY9",0.15591333640363,0.61,"BALB.cJ_302",0.24
"Q8R5I6",1,5.55111512312578e-17,"BALB.cJ_302",-0.42
"A0A0R4J140",0.60798560970591,0.0566666666666667,"BALB.cJ_302",-0.01
"P45878",0.00820627996963679,-0.316666666666667,"BALB.cJ_302",-0.07
"Q9D5J6",0.691283057162336,-0.02,"BALB.cJ_302",-0.04
"Q8BHA3",0.0739147116242654,-0.47,"BALB.cJ_302",0.13
"O35857",0.0219610743123928,-0.316666666666667,"BALB.cJ_302",-0.05
"Q8BI84",0.125369134085006,-0.21,"BALB.cJ_302",-0.04
"Q6PCM2",0.289862913816849,0.106666666666667,"BALB.cJ_302",0.19
"O89110",0.600849680531309,0.663333333333333,"BALB.cJ_302",-0.7
"Q8CHT0",0.00230243154491549,-0.316666666666667,"BALB.cJ_302",-0.29
"F6ZGI7",0.269633619634844,-0.17,"BALB.cJ_302",-0.09
"Q9ET01",0.0666972795971779,-0.153333333333333,"BALB.cJ_302",0.15
"Q8VC30",0.363603866350573,0.153333333333333,"BALB.cJ_302",0.06
"Q8VE37",0.335060909027856,-0.226666666666667,"BALB.cJ_302",-0.4
"O55013",0.0828622571386396,-0.206666666666667,"BALB.cJ_302",-0.19
"Q8BG32",0.203273445955245,0.0933333333333333,"BALB.cJ_302",0.06
"Q61599",0.00905579323165956,0.313333333333333,"BALB.cJ_302",0.23
"P10605",0.932452626608922,-0.00999999999999998,"BALB.cJ_302",-0.21
"Q5SUH7",0.744605926656481,0.02,"BALB.cJ_302",-0.06
"P29341",0.375019954515736,-0.0866666666666667,"BALB.cJ_302",0.05
"Q9WUP7-2",0.884363692879995,-0.0366666666666667,"BALB.cJ_302",-0.04
"O08677",0.0465730788833784,-0.45,"BALB.cJ_302",-0.47
"Q7TNE1",0.0790766728513993,-0.393333333333333,"BALB.cJ_302",0.07
"P10833",0.230185281121809,0.21,"BALB.cJ_302",0.41
"Q91X83",0.247761570577047,-0.183333333333333,"BALB.cJ_302",-0.49
"P19783",0.116952035611585,0.113333333333333,"BALB.cJ_302",0.04
"P07901",0.00373647144269733,0.496666666666667,"BALB.cJ_302",0.69
"Q8C2Q3",0.164871698208036,-0.156666666666667,"BALB.cJ_302",-0.07
"Q4VAA2",0.718558915965182,0.14,"BALB.cJ_302",0.13
"Q9D883",0.0772526011410356,0.276666666666667,"BALB.cJ_302",0.47
"Q9ESW4",0.229109438102154,-0.146666666666667,"BALB.cJ_302",-0.05
"Q569Z6",0.29545835741054,0.116666666666667,"BALB.cJ_302",0.23
"Q9WUM5",0.135138548656815,-0.133333333333333,"BALB.cJ_302",0.25
"Q9QUI0",0.118739182885075,-0.146666666666667,"BALB.cJ_302",0.11
"Q9CZP5",0.0776897839876293,-0.15,"BALB.cJ_302",0.2
"Q8R1S0",0.280966205841697,-0.0933333333333334,"BALB.cJ_302",0.01
"P26043",0.27311533567375,-0.0666666666666667,"BALB.cJ_302",-0.09
"Q61941",0.0575692805718922,-0.266666666666667,"BALB.cJ_302",-0.11
"P17439",0.0750185521052292,0.22,"BALB.cJ_302",0.11
"P32067",0.33524675457749,-0.0733333333333333,"BALB.cJ_302",0.15
"P97872",0.00162752271747791,0.516666666666667,"BALB.cJ_302",0.46
"O88569",0.355199349478656,0.09,"BALB.cJ_302",0.31
"Q5U458",1,0,"BALB.cJ_302",0.38
"Q9QXB9",0.544510012959143,0.106666666666667,"BALB.cJ_302",-0.03
"Q9JK53",0.83907956548829,0.03,"BALB.cJ_302",0.38
"Q2V6D6",0.350635239382164,-0.396666666666667,"BALB.cJ_302",-0.01
"Q9JIX8",0.394038760451716,0.0366666666666667,"BALB.cJ_302",0.09
"Q9DBR1",0.772178256796169,0.0366666666666667,"BALB.cJ_302",-0.1
"Q9QXD6",0.122699910173203,0.186666666666667,"BALB.cJ_302",0.18
"Q8VCH6",0.495498002937415,-0.0733333333333333,"BALB.cJ_302",-0.15
"Q99KP3",0.364458807141399,0.38,"BALB.cJ_302",-0.47
"P17182",0.361181466477344,-0.116666666666667,"BALB.cJ_302",-0.06
"P70194",0.340880455822993,-0.0666666666666667,"BALB.cJ_302",0.06
"Q71RI9",0.01650599364944,-0.386666666666667,"BALB.cJ_302",0.92
"P43883",0.0148245786395215,1.23666666666667,"BALB.cJ_302",0
"Q791V5",0.711305946442031,0.03,"BALB.cJ_302",0.04
"O88986",0.0226112873849936,-0.243333333333333,"BALB.cJ_302",-0.29
"Q8VDL4",0.217889331795992,0.13,"BALB.cJ_302",-0.06
"Q8VBW8",0.00826280478719713,-0.38,"BALB.cJ_302",-0.23
"Q8BWQ1",0.0058766686183992,-0.256666666666667,"BALB.cJ_302",-0.42
"Q99P88",0.0383219333912908,0.236666666666667,"BALB.cJ_302",0.26
"Q99LP6",0.235053520125731,0.173333333333333,"BALB.cJ_302",0.27
"Q8VCM7",0.0559994048668052,-0.406666666666667,"BALB.cJ_302",-0.12
"Q9CQJ8",0.196396195492849,0.0866666666666667,"BALB.cJ_302",0.15
"Q9JK42",0.0115409618512686,-0.433333333333333,"BALB.cJ_302",-0.19
"Q61247",0.805356779510525,-0.0166666666666667,"BALB.cJ_302",0.22
"Q8VEK0",0.15300106923314,-0.19,"BALB.cJ_302",-0.12
"P26443",0.00656082423965847,0.196666666666667,"BALB.cJ_302",0.42
"Q9D1R9",0.0978212455252571,-0.323333333333333,"BALB.cJ_302",-0.05
"E9Q3C1",0.399630392355888,0.08,"BALB.cJ_302",-0.16
"P09671",0.00339860285826125,-0.263333333333333,"BALB.cJ_302",-0.23
"P24369",0.798473555558317,-0.00666666666666665,"BALB.cJ_302",0.42
"Q3THS6",0.843304146424467,0.04,"BALB.cJ_302",0.03
"P09411",0.0534251196676489,-0.12,"BALB.cJ_302",-0.21
"P52196",1,0,"BALB.cJ_302",-0.3
"Q99KP6",0.930048578769742,0.00666666666666667,"BALB.cJ_302",0.16
"Q99MZ7",0.0770352097531545,-0.136666666666667,"BALB.cJ_302",0.08
"Q91YI0",0.061151929482471,-0.156666666666667,"BALB.cJ_302",-0.49
"Q99K67",0.186123021724217,-0.176666666666667,"BALB.cJ_302",-1.02
"Q9Z1Z2",0.661463601821855,0.0366666666666667,"BALB.cJ_302",0.02
"P48036",0.0344560786412414,0.36,"BALB.cJ_302",-0.03
"P14148",0.482489858441991,0.163333333333333,"BALB.cJ_302",0.01
"Q8BRF7",0.0830848265924539,-0.273333333333333,"BALB.cJ_302",-0.18
"O88543",0.752647335587923,-0.0566666666666667,"BALB.cJ_302",-0.21
"Q3UPL0",0.0410098971373185,-0.173333333333333,"BALB.cJ_302",-0.1
"Q9D172",0.616499462930135,0.0866666666666667,"BALB.cJ_302",-0.28
"Q6PFA2",0.168241099315884,0.176666666666667,"BALB.cJ_302",0.04
"P57784",0.246264152185946,-0.333333333333333,"BALB.cJ_302",-0.36
"Q3TEA8",0.13126132085012,-0.163333333333333,"BALB.cJ_302",0.04
"Q64521",0.0827190048460374,-0.503333333333333,"BALB.cJ_302",0.47
"O09174",0.610130734968685,0.0466666666666667,"BALB.cJ_302",0.06
"P28651",0.745756423269234,-0.0933333333333333,"BALB.cJ_302",-0.47
"P37804",0.819561523624043,-0.06,"BALB.cJ_302",-0.09
"Q9QZ88",0.836127042228509,-0.03,"BALB.cJ_302",0.16
"Q9CQA3",0.291170985626422,-0.0766666666666667,"BALB.cJ_302",0.05
"P13439",0.0229919490010288,-0.603333333333333,"BALB.cJ_302",-0.27
"P26150",0.579857131193716,-0.13,"BALB.cJ_302",-0.18
"Q8BH00",0.0222903508091755,-0.0733333333333333,"BALB.cJ_302",-0.02
"P27546-2",0.163124809152547,0.1,"BALB.cJ_302",0.32
"Q62446",0.597964154114537,-0.136666666666667,"BALB.cJ_302",-0.29
"Q61335",0.756017511541642,-0.123333333333333,"BALB.cJ_302",0.34
"O88342",0.183273214730927,-0.13,"BALB.cJ_302",-0.19
"P63028",0.378881425038694,-0.156666666666667,"BALB.cJ_302",0.2
"Q9CPY7",0.0128686627358742,-0.26,"BALB.cJ_302",-0.22
"Q99K01-4",0.107158305348161,-0.233333333333333,"BALB.cJ_302",-0.54
"P62869",0.0274146805944203,0.596666666666667,"BALB.cJ_302",-0.06
"O08663",0.064376724480983,-0.153333333333333,"BALB.cJ_302",0.05
"P23492",0.00639430082491894,-0.323333333333333,"BALB.cJ_302",-0.17
"Q3U0V1",0.0491234464050476,0.256666666666667,"BALB.cJ_302",0.18
"Q8VIJ6",0.0668931043445865,-0.32,"BALB.cJ_302",-0.31
"Q8R0V5",0.0238109696091905,-0.846666666666667,"BALB.cJ_302",-0.99
"Q9CPU0",0.00950388851868928,-0.763333333333333,"BALB.cJ_302",-0.69
"Q8CGV4",0.0703316139853694,-1.25,"BALB.cJ_302",-1.15
"Q8VBT2",0.00315902917482805,0.67,"BALB.cJ_302",0.17
"Q64012",0.0426319765419413,-0.39,"BALB.cJ_302",-0.18
"Q8C6B0",0.301515073679541,0.176666666666667,"BALB.cJ_302",0.54
"Q9CXS4",0.625460332101939,-0.07,"BALB.cJ_302",0.33
"Q8BGL3",0.56297392169866,-0.0766666666666667,"BALB.cJ_302",-0.06
"O08914",0.333314729003238,0.14,"BALB.cJ_302",0.23
"Q9JLZ3",0.468828904029691,0.176666666666667,"BALB.cJ_302",0.23
"Q9JII5",0.115516830025455,0.196666666666667,"BALB.cJ_302",0.12
"Q9CQX8",0.377820031782175,-0.126666666666667,"BALB.cJ_302",-0.09
"Q3KQQ2",1.18124844680367e-05,0.966666666666667,"BALB.cJ_302",0.81
"Q99L04",0.00397944230992805,0.436666666666667,"BALB.cJ_302",0.56
"Q9JM76",0.0769563962426448,0.116666666666667,"BALB.cJ_302",0.05
"Q9DCC4",0.601004098261618,-0.06,"BALB.cJ_302",0.2
"Q9JHU4",0.686798482341725,-0.0333333333333333,"BALB.cJ_302",-0.08
"P00493",0.000216756613476324,0.213333333333333,"BALB.cJ_302",0.1
"I1E4X1",0.164743806824794,-0.3,"BALB.cJ_302",-0.11
"Q8R1I1",0.056909677479595,0.283333333333333,"BALB.cJ_302",0.55
"Q61635",0.0672764761665356,-0.33,"BALB.cJ_302",-0.91
"P70699",0.898077631097615,-0.0266666666666667,"BALB.cJ_302",-0.41
"P58252",0.917628037065997,-0.00333333333333334,"BALB.cJ_302",0
"O88531",0.133829042838509,-0.446666666666667,"BALB.cJ_302",0.32
"Q8VCR2-2",0.00118458414574419,3.14,"BALB.cJ_302",0.75
"Q9CQE8",0.0333773727631584,0.116666666666667,"BALB.cJ_302",0.04
"P03888",0.0386307019800908,0.443333333333333,"BALB.cJ_302",0.55
"Q6GQS1",0.248905984491284,0.246666666666667,"BALB.cJ_302",0.16
"Q8BU33",0.705899933221319,0.11,"BALB.cJ_302",0.21
"Q9CR86",0.00747260466471053,-0.44,"BALB.cJ_302",-0.18
"Q9R013",0.633770285136339,-0.14,"BALB.cJ_302",0.26
"P49586",0.468949500078052,-0.153333333333333,"BALB.cJ_302",-0.1
"P14206",0.456029779056377,-0.14,"BALB.cJ_302",0.07
"Q8R317-2",0.840115845246719,-0.0666666666666667,"BALB.cJ_302",-0.58
"Q7TMM9",0.0598442175053851,-0.473333333333333,"BALB.cJ_302",-0.22
"Q8BH69",0.827271186318191,0.0266666666666667,"BALB.cJ_302",0.12
"Q91VA0",0.179867803539812,-0.14,"BALB.cJ_302",-0.1
"A0A1B0GSU0",0.0116008505049044,-0.423333333333333,"BALB.cJ_302",-0.31
"P35700",0.0417941448241469,0.426666666666667,"BALB.cJ_302",0.67
"Q9R0P5",0.0981439912922393,-0.11,"BALB.cJ_302",-0.04
"Q9DBG5",0.0389236790489485,0.293333333333333,"BALB.cJ_302",0.08
"Q9D0M3",0.123383849444706,-0.123333333333333,"BALB.cJ_302",0.01
"Q99KK7",0.0404803452829084,-0.266666666666667,"BALB.cJ_302",0.09
"Q99KB8",0.00176114768597899,-0.153333333333333,"BALB.cJ_302",-0.37
"Q9CX56",0.960425899984649,-0.00666666666666667,"BALB.cJ_302",0.23
"Q9DCU6",0.234550023240722,0.13,"BALB.cJ_302",0.18
"Q6P5F9",0.0781924050942985,-0.316666666666667,"BALB.cJ_302",-0.12
"Q9R1J0",0.175921673435042,-0.523333333333333,"BALB.cJ_302",-0.23
"Q91VH2",0.169719606595927,-0.176666666666667,"BALB.cJ_302",-0.43
"Q01853",0.0313019250370067,0.21,"BALB.cJ_302",0.18
"Q5SWU9-2",0.342019069288755,-0.136666666666667,"BALB.cJ_302",0.13
"Q91ZV0",0.34776108659361,0.1,"BALB.cJ_302",0.03
"P23116",0.26308735708664,-0.12,"BALB.cJ_302",-0.23
"Q9CQQ7",0.00261443987445601,-0.28,"BALB.cJ_302",-0.21
"Q6P4T2",0.565564029796663,0.0666666666666667,"BALB.cJ_302",0.23
"Q91YD9",0.471376484479773,0.376666666666667,"BALB.cJ_302",0.55
"P55302",0.435894504942781,0.0733333333333333,"BALB.cJ_302",-0.03
"Q61586",0.0481853655145468,0.19,"BALB.cJ_302",0
"Q07076",0.0173396054435829,0.31,"BALB.cJ_302",0.18
"P26041",0.055435529620464,0.25,"BALB.cJ_302",0.02
"P68510",0.824754828197524,0.01,"BALB.cJ_302",0.04
"O08553",0.290099013896114,0.0866666666666667,"BALB.cJ_302",0.16
"P11031",0.700839757031557,-0.0666666666666667,"BALB.cJ_302",0.48
"Q8K0C4",0.00276408289317819,-0.893333333333333,"BALB.cJ_302",-0.58
"P56654",0.0933100961208528,-0.926666666666667,"BALB.cJ_302",-1.45
"Q9CQH7",0.128027529387321,0.136666666666667,"BALB.cJ_302",-0.2
"E9QMK9",0.897797789993463,0.0166666666666667,"BALB.cJ_302",-0.26
"Q61133",0.181320969976145,-0.146666666666667,"BALB.cJ_302",-0.49
"O08601",0.977076119939211,-0.00333333333333335,"BALB.cJ_302",0.43
"Q60649",0.317662711836917,0.1,"BALB.cJ_302",-0.16
"Q80SW1",0.702836269562781,0.0533333333333333,"BALB.cJ_302",-0.14
"Q9Z1D1",0.287664600293187,-0.39,"BALB.cJ_302",-0.18
"Q9D024-2",0.453180306226851,-0.123333333333333,"BALB.cJ_302",-0.33
"P09528",0.506809320600085,0.183333333333333,"BALB.cJ_302",0.32
"Q8BMP6",0.467059748528095,-0.373333333333333,"BALB.cJ_302",0.06
"P0C0S6",0.982721629159882,-0.00333333333333333,"BALB.cJ_302",0.23
"P70290",0.0339198737587426,0.68,"BALB.cJ_302",0.61
"O54724",0.619238165228012,-0.0733333333333333,"BALB.cJ_302",0.06
"P62320",0.387190068039805,-0.15,"BALB.cJ_302",0.21
"Q9CQL1",0.0375402357461627,0.35,"BALB.cJ_302",0.54
"B5X0G2",0.0595222178477868,-3.81,"BALB.cJ_302",-6.17
"A0A2I3BPG9",0.428563212062063,-0.0633333333333333,"BALB.cJ_302",0.12
"Q3UIU2",0.299505051488817,0.3,"BALB.cJ_302",-0.02
"P61922",0.933104253209171,0.00666666666666667,"BALB.cJ_302",-0.21
"P00405",0.337220389304451,0.08,"BALB.cJ_302",-0.11
"P31809",0.00556596678544032,0.776666666666667,"BALB.cJ_302",0.41
"F8WIK0",0.517296796757122,-0.103333333333333,"BALB.cJ_302",0.86
"Q8VDN2",0.0866615675963743,0.103333333333333,"BALB.cJ_302",0.05
"Q61768",0.513955238671197,0.0933333333333333,"BALB.cJ_302",0.1
"A2ATU0",0.0826638247386045,-0.313333333333333,"BALB.cJ_302",1.7
"P14211",0.0456302330812269,0.22,"BALB.cJ_302",0.04
"Q9WTP7",0.112865478762165,-0.3,"BALB.cJ_302",-0.56
"B1AT82",0.220754593321424,0.11,"BALB.cJ_302",-0.03
"P46978",0.695318819492322,-0.0333333333333334,"BALB.cJ_302",0.31
"Q9DCX2",0.0140714445323459,-0.333333333333333,"BALB.cJ_302",-0.02
"Q9Z2U0",0.349018233744968,-0.1,"BALB.cJ_302",-0.37
"P97384",0.61497130454731,0.0566666666666667,"BALB.cJ_302",-0.11
"Q8C165",0.0466829472428517,0.38,"BALB.cJ_302",0.24
"P35486",0.0466022166681703,-0.323333333333333,"BALB.cJ_302",-0.53
"Q01730",0.121811568425048,0.146666666666667,"BALB.cJ_302",0.24
"P97300",0.407857553963921,0.0866666666666667,"BALB.cJ_302",-0.03
"P08228",0.703169211743148,-0.06,"BALB.cJ_302",-0.53
"Q91XE4",0.651384426481593,0.03,"BALB.cJ_302",0.04
"Q9DBA8",0.875019336308564,-0.02,"BALB.cJ_302",0.21
"Q9DCM2",0.00024080529944036,0.406666666666667,"BALB.cJ_302",0.31
"Q3ULD5",0.0256987468276915,0.12,"BALB.cJ_302",0.04
"Q9D8N0",0.114774103631428,-0.0866666666666667,"BALB.cJ_302",-0.04
"Q60737",0.109207455008948,0.22,"BALB.cJ_302",0.1
"Q61792",0.042878825383492,-0.143333333333333,"BALB.cJ_302",0.02
"Q99P27",0.00297842368709872,-0.333333333333333,"BALB.cJ_302",0.01
"O70400",0.0148140966289511,1.12,"BALB.cJ_302",0.74
"Q9QXZ6",0.0843745210225965,-0.513333333333333,"BALB.cJ_302",-0.17
"Q8R3P0",0.0276621409413056,-0.433333333333333,"BALB.cJ_302",-0.75
"P70245",0.0399468870616376,-0.403333333333333,"BALB.cJ_302",-0.46
"Q8K0Z7",0.285680691833601,-0.31,"BALB.cJ_302",-0.27
"Q8BJ64",0.03715302922124,-0.333333333333333,"BALB.cJ_302",-0.46
"Q5XJF6",0.0177280011835536,-0.153333333333333,"BALB.cJ_302",-0.02
"Q9DBD0",0.198405576821264,0.3,"BALB.cJ_302",0.73
"Q08943",0.211644842998577,0.503333333333333,"BALB.cJ_302",0.11
"Q9CZN7-2",0.016981857296754,-0.293333333333333,"BALB.cJ_302",-0.69
"Q06890",0.699417311695654,-0.0533333333333333,"BALB.cJ_302",-0.36
"Q8K4Z5",0.433200474603017,0.0833333333333333,"BALB.cJ_302",-0.22
"P42227-3",0.284610200348366,-0.196666666666667,"BALB.cJ_302",0.03
"Q8R0X7",0.202158800547562,0.846666666666667,"BALB.cJ_302",0.82
"Q9EQ20",0.288041882926258,0.06,"BALB.cJ_302",-0.14
"Q3TGU7",0.177796079133373,-0.16,"BALB.cJ_302",-0.18
"Q91YH5",0.522665338428913,0.0933333333333333,"BALB.cJ_302",0.31
"Q78PY7",0.863501630016051,0.01,"BALB.cJ_302",-0.13
"E9PY39",0.389297612829237,0.62,"BALB.cJ_302",0.1
"Q60866",0.12237454095824,-0.236666666666667,"BALB.cJ_302",-0.02
"Q9JJW0",0.216952223315393,0.143333333333333,"BALB.cJ_302",0.72
"Q99P30",0.0399815317629221,-0.183333333333333,"BALB.cJ_302",0.21
"P51660",0.0536997537976566,0.25,"BALB.cJ_302",0.31
"O08705",0.193663679492353,-0.156666666666667,"BALB.cJ_302",0.14
"P61620",0.0868035865199129,-0.123333333333333,"BALB.cJ_302",0.07
"Q80X80",0.485234153469263,-0.123333333333333,"BALB.cJ_302",-0.41
"D3Z2J6",0.148559263060953,0.283333333333333,"BALB.cJ_302",0.22
"Q8VCH0",0.712320707415757,-0.0666666666666667,"BALB.cJ_302",-0.2
"Q93092",0.187228453892566,0.216666666666667,"BALB.cJ_302",-0.01
"Q9R233",0.000963950953337633,-0.643333333333333,"BALB.cJ_302",-0.08
"Q9D8E6",0.0680115900161424,-0.366666666666667,"BALB.cJ_302",-0.45
"Q91WK5",0.0102188672721141,0.64,"BALB.cJ_302",-0.23
"Q80XN0",0.0117212270945352,-0.613333333333333,"BALB.cJ_302",0.12
"O88587",0.753582441348525,-0.0333333333333333,"BALB.cJ_302",0.12
"Q8R238",0.502777436377223,0.0733333333333333,"BALB.cJ_302",0.04
"Q9D8W5",0.102288696384257,0.166666666666667,"BALB.cJ_302",0.1
"P56959",0.0598077412832698,-0.216666666666667,"BALB.cJ_302",-0.05
