"Accession","pvalue","for_change","Type","Values"
"Q8BFY9",0.15591333640363,0.61,"BALB.cJ_300",0.12
"Q8R5I6",1,5.55111512312578e-17,"BALB.cJ_300",-0.35
"A0A0R4J140",0.60798560970591,0.0566666666666667,"BALB.cJ_300",0.01
"P45878",0.00820627996963679,-0.316666666666667,"BALB.cJ_300",-0.24
"Q9D5J6",0.691283057162336,-0.02,"BALB.cJ_300",-0.01
"Q8BHA3",0.0739147116242654,-0.47,"BALB.cJ_300",-0.2
"O35857",0.0219610743123928,-0.316666666666667,"BALB.cJ_300",-0.14
"Q8BI84",0.125369134085006,-0.21,"BALB.cJ_300",-0.09
"Q6PCM2",0.289862913816849,0.106666666666667,"BALB.cJ_300",-0.05
"O89110",0.600849680531309,0.663333333333333,"BALB.cJ_300",2.68
"Q8CHT0",0.00230243154491549,-0.316666666666667,"BALB.cJ_300",-0.25
"F6ZGI7",0.269633619634844,-0.17,"BALB.cJ_300",-0.38
"Q9ET01",0.0666972795971779,-0.153333333333333,"BALB.cJ_300",0.04
"Q8VC30",0.363603866350573,0.153333333333333,"BALB.cJ_300",0.15
"Q8VE37",0.335060909027856,-0.226666666666667,"BALB.cJ_300",-0.02
"O55013",0.0828622571386396,-0.206666666666667,"BALB.cJ_300",0.05
"Q8BG32",0.203273445955245,0.0933333333333333,"BALB.cJ_300",-0.02
"Q61599",0.00905579323165956,0.313333333333333,"BALB.cJ_300",0.12
"P10605",0.932452626608922,-0.00999999999999998,"BALB.cJ_300",-0.25
"Q5SUH7",0.744605926656481,0.02,"BALB.cJ_300",-0.08
"P29341",0.375019954515736,-0.0866666666666667,"BALB.cJ_300",0
"Q9WUP7-2",0.884363692879995,-0.0366666666666667,"BALB.cJ_300",-0.42
"O08677",0.0465730788833784,-0.45,"BALB.cJ_300",-0.19
"Q7TNE1",0.0790766728513993,-0.393333333333333,"BALB.cJ_300",-0.2
"P10833",0.230185281121809,0.21,"BALB.cJ_300",-0.02
"Q91X83",0.247761570577047,-0.183333333333333,"BALB.cJ_300",-0.61
"P19783",0.116952035611585,0.113333333333333,"BALB.cJ_300",0.16
"P07901",0.00373647144269733,0.496666666666667,"BALB.cJ_300",0.49
"Q8C2Q3",0.164871698208036,-0.156666666666667,"BALB.cJ_300",0.02
"Q4VAA2",0.718558915965182,0.14,"BALB.cJ_300",-0.21
"Q9D883",0.0772526011410356,0.276666666666667,"BALB.cJ_300",0.21
"Q9ESW4",0.229109438102154,-0.146666666666667,"BALB.cJ_300",0.12
"Q569Z6",0.29545835741054,0.116666666666667,"BALB.cJ_300",0.02
"Q9WUM5",0.135138548656815,-0.133333333333333,"BALB.cJ_300",0.12
"Q9QUI0",0.118739182885075,-0.146666666666667,"BALB.cJ_300",0.02
"Q9CZP5",0.0776897839876293,-0.15,"BALB.cJ_300",0.19
"Q8R1S0",0.280966205841697,-0.0933333333333334,"BALB.cJ_300",0.09
"P26043",0.27311533567375,-0.0666666666666667,"BALB.cJ_300",0.04
"Q61941",0.0575692805718922,-0.266666666666667,"BALB.cJ_300",-0.13
"P17439",0.0750185521052292,0.22,"BALB.cJ_300",-0.09
"P32067",0.33524675457749,-0.0733333333333333,"BALB.cJ_300",0.07
"P97872",0.00162752271747791,0.516666666666667,"BALB.cJ_300",0.33
"O88569",0.355199349478656,0.09,"BALB.cJ_300",0.22
"Q5U458",1,0,"BALB.cJ_300",0.14
"Q9QXB9",0.544510012959143,0.106666666666667,"BALB.cJ_300",-0.07
"Q9JK53",0.83907956548829,0.03,"BALB.cJ_300",0.12
"Q2V6D6",0.350635239382164,-0.396666666666667,"BALB.cJ_300",0.25
"Q9JIX8",0.394038760451716,0.0366666666666667,"BALB.cJ_300",0.04
"Q9DBR1",0.772178256796169,0.0366666666666667,"BALB.cJ_300",-0.16
"Q9QXD6",0.122699910173203,0.186666666666667,"BALB.cJ_300",0.31
"Q8VCH6",0.495498002937415,-0.0733333333333333,"BALB.cJ_300",-0.25
"Q99KP3",0.364458807141399,0.38,"BALB.cJ_300",0.56
"P17182",0.361181466477344,-0.116666666666667,"BALB.cJ_300",-0.1
"P70194",0.340880455822993,-0.0666666666666667,"BALB.cJ_300",-0.08
"Q71RI9",0.01650599364944,-0.386666666666667,"BALB.cJ_300",0.83
"P43883",0.0148245786395215,1.23666666666667,"BALB.cJ_300",0.12
"Q791V5",0.711305946442031,0.03,"BALB.cJ_300",-0.02
"O88986",0.0226112873849936,-0.243333333333333,"BALB.cJ_300",-0.38
"Q8VDL4",0.217889331795992,0.13,"BALB.cJ_300",-0.27
"Q8VBW8",0.00826280478719713,-0.38,"BALB.cJ_300",-0.22
"Q8BWQ1",0.0058766686183992,-0.256666666666667,"BALB.cJ_300",-0.49
"Q99P88",0.0383219333912908,0.236666666666667,"BALB.cJ_300",0.26
"Q99LP6",0.235053520125731,0.173333333333333,"BALB.cJ_300",0.32
"Q8VCM7",0.0559994048668052,-0.406666666666667,"BALB.cJ_300",0.04
"Q9CQJ8",0.196396195492849,0.0866666666666667,"BALB.cJ_300",0.15
"Q9JK42",0.0115409618512686,-0.433333333333333,"BALB.cJ_300",-0.39
"Q61247",0.805356779510525,-0.0166666666666667,"BALB.cJ_300",0.13
"Q8VEK0",0.15300106923314,-0.19,"BALB.cJ_300",-0.19
"P26443",0.00656082423965847,0.196666666666667,"BALB.cJ_300",0.34
"Q9D1R9",0.0978212455252571,-0.323333333333333,"BALB.cJ_300",-0.2
"E9Q3C1",0.399630392355888,0.08,"BALB.cJ_300",0.1
"P09671",0.00339860285826125,-0.263333333333333,"BALB.cJ_300",-0.19
"P24369",0.798473555558317,-0.00666666666666665,"BALB.cJ_300",0.38
"Q3THS6",0.843304146424467,0.04,"BALB.cJ_300",-0.36
"P09411",0.0534251196676489,-0.12,"BALB.cJ_300",-0.2
"P52196",1,0,"BALB.cJ_300",-0.3
"Q99KP6",0.930048578769742,0.00666666666666667,"BALB.cJ_300",0.01
"Q99MZ7",0.0770352097531545,-0.136666666666667,"BALB.cJ_300",0.23
"Q91YI0",0.061151929482471,-0.156666666666667,"BALB.cJ_300",-0.5
"Q99K67",0.186123021724217,-0.176666666666667,"BALB.cJ_300",-0.77
"Q9Z1Z2",0.661463601821855,0.0366666666666667,"BALB.cJ_300",0.22
"P48036",0.0344560786412414,0.36,"BALB.cJ_300",-0.14
"P14148",0.482489858441991,0.163333333333333,"BALB.cJ_300",0.34
"Q8BRF7",0.0830848265924539,-0.273333333333333,"BALB.cJ_300",-0.38
"O88543",0.752647335587923,-0.0566666666666667,"BALB.cJ_300",-0.13
"Q3UPL0",0.0410098971373185,-0.173333333333333,"BALB.cJ_300",-0.08
"Q9D172",0.616499462930135,0.0866666666666667,"BALB.cJ_300",-0.12
"Q6PFA2",0.168241099315884,0.176666666666667,"BALB.cJ_300",0.26
